iteration,candidate,machine_green,area,whitespace_ratio
0,SRAM_BOUNDED_V2_S0_CLASSIC_COMPACT,True,54687.28,0.35467
1,SRAM_BOUNDED_V2_S1_TOP_BOTTOM_COLUMN,False,55463.42,0.3637
2,SRAM_BOUNDED_V2_S3_COMPACT_CONTROL_SIDE,True,54687.28,0.35467
3,SRAM_BOUNDED_V2_S5_AUTOMATED_PARETO,True,53103.4,0.335422
