candidate_id,instance,asset,x0,y0,x1,y1,width,height,orientation
SRAM_BOUNDED_V2_S0_CLASSIC_COMPACT,row_path,row_path,0,0,105.00250000000001,41.620000000000005,105.00250000000001,41.620000000000005,R0
SRAM_BOUNDED_V2_S0_CLASSIC_COMPACT,precharge,precharge,5.250125000000001,47.620000000000005,5.962625000000001,49.010000000000005,0.7125,1.3900000000000001,R0
SRAM_BOUNDED_V2_S0_CLASSIC_COMPACT,sense_amp,sense_amp,15.750375000000002,-12.01,16.525375,-6.0,0.775,6.01,R0
SRAM_BOUNDED_V2_S0_CLASSIC_COMPACT,write_driver,write_driver,44.10105,-10.175,44.941050000000004,-6.000000000000001,0.84,4.175,R0
SRAM_BOUNDED_V2_S0_CLASSIC_COMPACT,control_block,control_v2_a,-174.0,0.0,-6.0,184.0,168.0,184.0,R0
SRAM_BOUNDED_V2_S1_TOP_BOTTOM_COLUMN,row_path,row_path,0,0,105.00250000000001,41.620000000000005,105.00250000000001,41.620000000000005,R0
SRAM_BOUNDED_V2_S1_TOP_BOTTOM_COLUMN,precharge,precharge,5.250125000000001,47.620000000000005,5.962625000000001,49.010000000000005,0.7125,1.3900000000000001,R0
SRAM_BOUNDED_V2_S1_TOP_BOTTOM_COLUMN,sense_amp,sense_amp,21.000500000000002,-12.01,21.7755,-6.0,0.775,6.01,R0
SRAM_BOUNDED_V2_S1_TOP_BOTTOM_COLUMN,write_driver,write_driver,50.4012,-10.175,51.241200000000006,-6.000000000000001,0.84,4.175,R0
SRAM_BOUNDED_V2_S1_TOP_BOTTOM_COLUMN,control_block,control_v2_b,-190.0,8.0,-6.0,176.0,184.0,168.0,R0
SRAM_BOUNDED_V2_S3_COMPACT_CONTROL_SIDE,row_path,row_path,0,0,105.00250000000001,41.620000000000005,105.00250000000001,41.620000000000005,R0
SRAM_BOUNDED_V2_S3_COMPACT_CONTROL_SIDE,precharge,precharge,5.250125000000001,47.620000000000005,5.962625000000001,49.010000000000005,0.7125,1.3900000000000001,R0
SRAM_BOUNDED_V2_S3_COMPACT_CONTROL_SIDE,sense_amp,sense_amp,15.750375000000002,-12.01,16.525375,-6.0,0.775,6.01,R0
SRAM_BOUNDED_V2_S3_COMPACT_CONTROL_SIDE,write_driver,write_driver,44.10105,-10.175,44.941050000000004,-6.000000000000001,0.84,4.175,R0
SRAM_BOUNDED_V2_S3_COMPACT_CONTROL_SIDE,control_block,control_v2_a,111.00250000000001,0.0,279.0025,184.0,168.0,184.0,R0
SRAM_BOUNDED_V2_S5_AUTOMATED_PARETO,row_path,row_path,0,0,105.00250000000001,41.620000000000005,105.00250000000001,41.620000000000005,R0
SRAM_BOUNDED_V2_S5_AUTOMATED_PARETO,precharge,precharge,5.250125000000001,47.620000000000005,5.962625000000001,49.010000000000005,0.7125,1.3900000000000001,R0
SRAM_BOUNDED_V2_S5_AUTOMATED_PARETO,sense_amp,sense_amp,15.750375000000002,-12.01,16.525375,-6.0,0.775,6.01,R0
SRAM_BOUNDED_V2_S5_AUTOMATED_PARETO,write_driver,write_driver,44.10105,-10.175,44.941050000000004,-6.000000000000001,0.84,4.175,R0
SRAM_BOUNDED_V2_S5_AUTOMATED_PARETO,control_block,control_v2_b,111.00250000000001,0.0,295.0025,168.0,184.0,168.0,R0
