candidate_id,machine_gate_passed,combined_drc_marker_count,power_endpoint_coverage,connectivity,foreign_net,width_um,height_um,area_um2,total_complete_path_length_um,max_complete_path_length_um,max_arrival_skew_ps,slew_ratio,rc_evidence_level,formal_timing_authority,clean_gds_sha256
P2_REAL_ARRAY_V1,True,0,868/868,True,True,105.0025,41.62,4370.20405,784.1825,58.195,0.31889,1.0123346539690412,NORMALIZED_GEOMETRY_RC_PROXY,PENDING,41820f1a32b0b8d6066c2d49c081489dfd74eb9b0e6e8e3be655c071abc7fba4
P3_REAL_ARRAY_V1,True,0,868/868,True,True,105.0025,41.62,4370.20405,1104.1825,78.195,0.37628,1.012064307270233,NORMALIZED_GEOMETRY_RC_PROXY,PENDING,0ab2ad45d27cb0c925b52a3866efb540e4e72a8d0d7cbe6c5056f89b11bff187
