tool,status,input_rise_ps,output_fall_ps,rise_to_fall_delay_ps,input_fall_ps,output_rise_ps,fall_to_rise_delay_ps,z_after_first_rise_v,z_after_first_fall_v,z_min_v,z_max_v,notes
ngspice,PASS,42.5,215.084,172.584,167.5,337.391,169.891,-0.001098954,1.010294,-0.007786068,1.010772,Primary chain matches 9-stage inverting contract
Xyce,INCOMPATIBLE_SECONDARY,,,,,,,,,,,Standalone invocation failed to bind delay_chain subckt under current testbench packaging
