left_gate,left_orientation,right_gate,right_orientation,gap,placement_axis,pair_key
AND2,MY,AND2,R180,0.07,horizontal,AND2|MY|AND2|R180|0.07|horizontal
AND2,MY,AND2,R180,0.14,horizontal,AND2|MY|AND2|R180|0.14|horizontal
AND2,MY,AND3,MX,0.0,horizontal,AND2|MY|AND3|MX|0.0|horizontal
AND2,MY,AND3,MX,0.0025,horizontal,AND2|MY|AND3|MX|0.0025|horizontal
AND2,MY,AND3,MX,0.07,horizontal,AND2|MY|AND3|MX|0.07|horizontal
AND2,MY,AND3,MX,0.14,horizontal,AND2|MY|AND3|MX|0.14|horizontal
AND2,MY,AND3,MY,0.0,horizontal,AND2|MY|AND3|MY|0.0|horizontal
AND2,MY,AND3,MY,0.0025,horizontal,AND2|MY|AND3|MY|0.0025|horizontal
AND2,MY,AND3,MY,0.07,horizontal,AND2|MY|AND3|MY|0.07|horizontal
AND2,MY,AND3,MY,0.14,horizontal,AND2|MY|AND3|MY|0.14|horizontal
AND2,MY,AND3,R0,0.0,horizontal,AND2|MY|AND3|R0|0.0|horizontal
AND2,MY,AND3,R0,0.0025,horizontal,AND2|MY|AND3|R0|0.0025|horizontal
AND2,MY,AND3,R0,0.07,horizontal,AND2|MY|AND3|R0|0.07|horizontal
AND2,MY,AND3,R0,0.14,horizontal,AND2|MY|AND3|R0|0.14|horizontal
AND2,MY,AND3,R180,0.0,horizontal,AND2|MY|AND3|R180|0.0|horizontal
AND2,MY,AND3,R180,0.0025,horizontal,AND2|MY|AND3|R180|0.0025|horizontal
AND2,MY,AND3,R180,0.07,horizontal,AND2|MY|AND3|R180|0.07|horizontal
AND2,MY,AND3,R180,0.14,horizontal,AND2|MY|AND3|R180|0.14|horizontal
AND2,MY,PINV,MX,0.0,horizontal,AND2|MY|PINV|MX|0.0|horizontal
AND2,MY,PINV,MX,0.0025,horizontal,AND2|MY|PINV|MX|0.0025|horizontal
AND2,MY,PINV,MX,0.07,horizontal,AND2|MY|PINV|MX|0.07|horizontal
AND2,MY,PINV,MX,0.14,horizontal,AND2|MY|PINV|MX|0.14|horizontal
AND2,MY,PINV,MY,0.0,horizontal,AND2|MY|PINV|MY|0.0|horizontal
AND2,MY,PINV,MY,0.0025,horizontal,AND2|MY|PINV|MY|0.0025|horizontal
AND2,MY,PINV,MY,0.07,horizontal,AND2|MY|PINV|MY|0.07|horizontal
AND2,MY,PINV,MY,0.14,horizontal,AND2|MY|PINV|MY|0.14|horizontal
AND2,MY,PINV,R0,0.0,horizontal,AND2|MY|PINV|R0|0.0|horizontal
AND2,MY,PINV,R0,0.0025,horizontal,AND2|MY|PINV|R0|0.0025|horizontal
AND2,MY,PINV,R0,0.07,horizontal,AND2|MY|PINV|R0|0.07|horizontal
AND2,MY,PINV,R0,0.14,horizontal,AND2|MY|PINV|R0|0.14|horizontal
AND2,MY,PINV,R180,0.0,horizontal,AND2|MY|PINV|R180|0.0|horizontal
AND2,MY,PINV,R180,0.0025,horizontal,AND2|MY|PINV|R180|0.0025|horizontal
AND2,MY,PINV,R180,0.07,horizontal,AND2|MY|PINV|R180|0.07|horizontal
AND2,MY,PINV,R180,0.14,horizontal,AND2|MY|PINV|R180|0.14|horizontal
AND2,MY,PNAND2,MX,0.0,horizontal,AND2|MY|PNAND2|MX|0.0|horizontal
AND2,MY,PNAND2,MX,0.0025,horizontal,AND2|MY|PNAND2|MX|0.0025|horizontal
AND2,MY,PNAND2,MX,0.07,horizontal,AND2|MY|PNAND2|MX|0.07|horizontal
AND2,MY,PNAND2,MX,0.14,horizontal,AND2|MY|PNAND2|MX|0.14|horizontal
AND2,MY,PNAND2,MY,0.0,horizontal,AND2|MY|PNAND2|MY|0.0|horizontal
AND2,MY,PNAND2,MY,0.0025,horizontal,AND2|MY|PNAND2|MY|0.0025|horizontal
AND2,MY,PNAND2,MY,0.07,horizontal,AND2|MY|PNAND2|MY|0.07|horizontal
AND2,MY,PNAND2,MY,0.14,horizontal,AND2|MY|PNAND2|MY|0.14|horizontal
AND2,MY,PNAND2,R0,0.0,horizontal,AND2|MY|PNAND2|R0|0.0|horizontal
AND2,MY,PNAND2,R0,0.0025,horizontal,AND2|MY|PNAND2|R0|0.0025|horizontal
AND2,MY,PNAND2,R0,0.07,horizontal,AND2|MY|PNAND2|R0|0.07|horizontal
AND2,MY,PNAND2,R0,0.14,horizontal,AND2|MY|PNAND2|R0|0.14|horizontal
AND2,MY,PNAND2,R180,0.0,horizontal,AND2|MY|PNAND2|R180|0.0|horizontal
AND2,MY,PNAND2,R180,0.0025,horizontal,AND2|MY|PNAND2|R180|0.0025|horizontal
AND2,MY,PNAND2,R180,0.07,horizontal,AND2|MY|PNAND2|R180|0.07|horizontal
AND2,MY,PNAND2,R180,0.14,horizontal,AND2|MY|PNAND2|R180|0.14|horizontal
AND2,MY,PNAND3,MX,0.0,horizontal,AND2|MY|PNAND3|MX|0.0|horizontal
AND2,MY,PNAND3,MX,0.0025,horizontal,AND2|MY|PNAND3|MX|0.0025|horizontal
AND2,MY,PNAND3,MX,0.07,horizontal,AND2|MY|PNAND3|MX|0.07|horizontal
