instance_name,logical_child_type,resolved_physical_cell_name,child_pin_order,parent_net_connections,pin_map_pin_names,binding_status
pnand2_stage,PNAND2,PNAND2_NW180_PW270_L50_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""Z""]","[""VDD"", ""VSS"", ""A"", ""B"", ""zb_int""]","[""A"", ""B"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
inv_stage,PINV,PINV_NW90_PW270_L50,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""zb_int"", ""Z""]","[""A"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
