shape_id,shape_layer,shape_bbox,owner,net,route_id,segment_key
m1_2149,m1,"[14.055, 0.0, 14.12, 0.135]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_2149,m1,"[14.055, 0.0, 14.12, 0.135]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_2150,m1,"[14.055, 1.525, 14.12, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_2150,m1,"[14.055, 1.525, 14.12, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_218,m1,"[118.4625, 16.365, 120.5975, 16.5]",PARENT_INTEGRATION_ROUTER,WL10,WL10,dest_bbox
m1_218,m1,"[118.4625, 16.365, 120.5975, 16.5]",PARENT_INTEGRATION_ROUTER,WL10,WL10,dest_m1_horizontal_bbox
m1_219,m1,"[96.215, 0.83, 96.35, 0.965]",PARENT_INTEGRATION_ROUTER,WL11,WL11,source_bbox
m1_219,m1,"[96.215, 0.83, 96.35, 0.965]",PARENT_INTEGRATION_ROUTER,WL11,WL11,source_m1_landing_bbox
m1_219,m1,"[96.215, 0.83, 96.35, 0.965]",TOP_PIN,WL11,TOP_PIN::WL11,top_pin_bbox
m1_2215,m1,"[14.76, 1.82, 16.805, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_2215,m1,"[14.76, 1.82, 16.805, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_2216,m1,"[14.76, 0.0, 16.805, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_2216,m1,"[14.76, 0.0, 16.805, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_2229,m1,"[14.76, 1.82, 16.0075, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_2229,m1,"[14.76, 1.82, 16.0075, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
