shape_id,shape_layer,shape_bbox,owner,net,route_id,segment_key
m1_13047,m1,"[72.88, 0.0, 72.945, 0.135]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_13047,m1,"[72.88, 0.0, 72.945, 0.135]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_13048,m1,"[72.88, 1.525, 72.945, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_13048,m1,"[72.88, 1.525, 72.945, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_13063,m1,"[73.095, 1.525, 73.16, 1.66]",PARENT_INTEGRATION_ROUTER,WL7,WL7,source_bbox
m1_13063,m1,"[73.095, 1.525, 73.16, 1.66]",TOP_PIN,WL7,TOP_PIN::WL7,top_pin_bbox
m1_13084,m1,"[73.095, 0.135, 73.16, 0.27]",PARENT_INTEGRATION_ROUTER,WL7,WL7,source_bbox
m1_13084,m1,"[73.095, 0.135, 73.16, 0.27]",TOP_PIN,WL7,TOP_PIN::WL7,top_pin_bbox
m1_131,m1,"[57.215, 0.83, 57.35, 0.965]",PARENT_INTEGRATION_ROUTER,WL3,WL3,source_bbox
m1_131,m1,"[57.215, 0.83, 57.35, 0.965]",PARENT_INTEGRATION_ROUTER,WL3,WL3,source_m1_landing_bbox
m1_131,m1,"[57.215, 0.83, 57.35, 0.965]",TOP_PIN,WL3,TOP_PIN::WL3,top_pin_bbox
m1_1311,m1,"[6.9225, 0.0, 6.9875, 0.18]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1311,m1,"[6.9225, 0.0, 6.9875, 0.18]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1312,m1,"[6.9225, 1.525, 6.9875, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1312,m1,"[6.9225, 1.525, 6.9875, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1313,m1,"[7.3525, 1.525, 7.4175, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1313,m1,"[7.3525, 1.525, 7.4175, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_141,m1,"[118.4625, 5.41, 122.5575, 5.545]",PARENT_INTEGRATION_ROUTER,WL3,WL3,dest_bbox
m1_141,m1,"[118.4625, 5.41, 122.5575, 5.545]",PARENT_INTEGRATION_ROUTER,WL3,WL3,dest_m1_horizontal_bbox
m1_142,m1,"[61.18, 0.83, 61.315, 0.965]",PARENT_INTEGRATION_ROUTER,WL4,WL4,source_bbox
m1_142,m1,"[61.18, 0.83, 61.315, 0.965]",PARENT_INTEGRATION_ROUTER,WL4,WL4,source_m1_landing_bbox
m1_142,m1,"[61.18, 0.83, 61.315, 0.965]",TOP_PIN,WL4,TOP_PIN::WL4,top_pin_bbox
m1_1455,m1,"[8.1875, 1.82, 8.875, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1455,m1,"[8.1875, 1.82, 8.875, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1456,m1,"[8.1875, 0.0, 8.875, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1456,m1,"[8.1875, 0.0, 8.875, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1457,m1,"[8.665, 1.6825, 8.73, 1.8525]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1457,m1,"[8.665, 1.6825, 8.73, 1.8525]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1458,m1,"[8.665, 0.0325, 8.73, 0.2025]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1458,m1,"[8.665, 0.0325, 8.73, 0.2025]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1466,m1,"[8.28, 0.0, 8.345, 0.135]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1466,m1,"[8.28, 0.0, 8.345, 0.135]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1467,m1,"[8.28, 1.525, 8.345, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1467,m1,"[8.28, 1.525, 8.345, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_15,m1,"[-1.4175, 1.82, 0.4725, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_15,m1,"[-1.4175, 1.82, 0.4725, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_152,m1,"[118.4625, 6.975, 122.2775, 7.11]",PARENT_INTEGRATION_ROUTER,WL4,WL4,dest_bbox
m1_152,m1,"[118.4625, 6.975, 122.2775, 7.11]",PARENT_INTEGRATION_ROUTER,WL4,WL4,dest_m1_horizontal_bbox
m1_153,m1,"[65.1475, 0.83, 65.28, 0.965]",PARENT_INTEGRATION_ROUTER,WL5,WL5,source_bbox
m1_153,m1,"[65.1475, 0.83, 65.28, 0.965]",PARENT_INTEGRATION_ROUTER,WL5,WL5,source_m1_landing_bbox
m1_153,m1,"[65.1475, 0.83, 65.28, 0.965]",TOP_PIN,WL5,TOP_PIN::WL5,top_pin_bbox
m1_1532,m1,"[8.985, 1.82, 10.685, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1532,m1,"[8.985, 1.82, 10.685, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1533,m1,"[8.985, 0.0, 10.685, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1533,m1,"[8.985, 0.0, 10.685, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1545,m1,"[8.985, 1.82, 9.8875, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1545,m1,"[8.985, 1.82, 9.8875, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1546,m1,"[8.985, 0.0, 9.8875, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1546,m1,"[8.985, 0.0, 9.8875, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1547,m1,"[9.6775, 1.6825, 9.7425, 1.8525]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1547,m1,"[9.6775, 1.6825, 9.7425, 1.8525]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1548,m1,"[9.6775, 0.0325, 9.7425, 0.2025]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1548,m1,"[9.6775, 0.0325, 9.7425, 0.2025]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
