left_gate,left_orientation,right_gate,right_orientation,gap,power_rail_compatibility,boundary_DRC,Pin_obstruction,same_net_rail_stitching,foreign_net_risk,legal,reason,trial_gds_path,trial_gds_sha256,trial_lyrdb_path
PINV,R0,PINV,MY,0.0025,True,27,False,True,True,False,drc_marker_count=27,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_MY__g0p0025.gds,52f97822522aa951a56e68b180ade5c3acae7871472389a6c4c38cfbda98b1b1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_MY__g0p0025_drc/PAIR__PINV_R0__PINV_MY__g0p0025.lyrdb
PINV,R0,PINV,MY,0.07,True,12,False,True,True,False,drc_marker_count=12,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_MY__g0p07.gds,cd9d2669a7d0913e23bcbecb5759da3a21f6211fb2b46bceebbe7b6bdc6438ad,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_MY__g0p07_drc/PAIR__PINV_R0__PINV_MY__g0p07.lyrdb
PINV,R0,PINV,MY,0.14,True,22,False,True,True,False,drc_marker_count=22,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_MY__g0p14.gds,69c41f288e284a94143f31a8701e98e4f28dae58f0949fbc6b1e2c6c970281a3,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_MY__g0p14_drc/PAIR__PINV_R0__PINV_MY__g0p14.lyrdb
PINV,R0,PNAND2,R0,0.0,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R0__g0p0.gds,8ec09ad9913d118c43a1b78f8e41c6c99739878c33e3133255673c18012433e1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R0__g0p0_drc/PAIR__PINV_R0__PNAND2_R0__g0p0.lyrdb
PINV,R0,PNAND2,R0,0.0025,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R0__g0p0025.gds,729d1016da571b094ed2b8cfbf583b54a705dcd49407cdffcb55c8b90d079f34,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R0__g0p0025_drc/PAIR__PINV_R0__PNAND2_R0__g0p0025.lyrdb
PINV,R0,PNAND2,R0,0.07,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R0__g0p07.gds,755476d350ef18ee05146f4ea2f8ef0b58a14e44a855b589707ed16fd39d4bf4,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R0__g0p07_drc/PAIR__PINV_R0__PNAND2_R0__g0p07.lyrdb
PINV,R0,PNAND2,R0,0.14,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R0__g0p14.gds,7cf7a7ee31f296014bd15b3356459ca403f3929f1ded79769d0fb58b72a26055,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R0__g0p14_drc/PAIR__PINV_R0__PNAND2_R0__g0p14.lyrdb
PINV,R0,PNAND2,R180,0.0,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R180__g0p0.gds,ab60438957e9fbf03a793ef86cc6bbdb9571ad73f2253fb4624416d3777909f6,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R180__g0p0_drc/PAIR__PINV_R0__PNAND2_R180__g0p0.lyrdb
PINV,R0,PNAND2,R180,0.0025,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R180__g0p0025.gds,3951b34725531caedc21869e0bf6460b0c3a28c5bafba51d368e44b02728d82e,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R180__g0p0025_drc/PAIR__PINV_R0__PNAND2_R180__g0p0025.lyrdb
PINV,R0,PNAND2,R180,0.07,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R180__g0p07.gds,bb1adf9d8faff4b2298aa3109fb92b2c0d86324340caeae4c300d5c13863a02a,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R180__g0p07_drc/PAIR__PINV_R0__PNAND2_R180__g0p07.lyrdb
