logical_name,physical_name,kind,orientation,gds_path,gds_sha256,width,height,top_rail_net,bottom_rail_net,vdd_interval,vss_interval,left_boundary_signature,right_boundary_signature,top_boundary_signature,bottom_boundary_signature,orientation_legal,reason
AND2,AND2_PNAND2_PINV_FPDK45,composite_gate,R180,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/AND2/clean.gds,291f40e81761c49a60bc5b36e864e160cea5114b5bf27e284a97cac4d019a44c,1.81,1.8875,vdd,gnd,"[1.82, 1.885]","[0.0, 0.065]","[""Z""]","[""A"", ""B""]","[""VSS""]","[""VDD""]",True,
AND2,AND2_PNAND2_PINV_FPDK45,composite_gate,MX,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/AND2/clean.gds,291f40e81761c49a60bc5b36e864e160cea5114b5bf27e284a97cac4d019a44c,1.81,1.8875,gnd,vdd,"[0.0024999999999999467, 0.0674999999999999]","[1.8225, 1.8875]","[""A"", ""B""]","[""Z""]","[""VSS""]","[""VDD""]",True,
AND2,AND2_PNAND2_PINV_FPDK45,composite_gate,MY,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/AND2/clean.gds,291f40e81761c49a60bc5b36e864e160cea5114b5bf27e284a97cac4d019a44c,1.81,1.8875,vdd,gnd,"[1.82, 1.885]","[0.0, 0.065]","[""Z""]","[""A"", ""B""]","[""VDD""]","[""VSS""]",True,
AND3,AND3_PNAND3_PINV_FPDK45,composite_gate,R0,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/AND3/clean.gds,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,2.155,1.8875,vdd,gnd,"[1.82, 1.885]","[0.0, 0.065]","[""B"", ""C""]","[""Z""]","[""VDD""]","[""A"", ""VSS""]",True,
AND3,AND3_PNAND3_PINV_FPDK45,composite_gate,R180,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/AND3/clean.gds,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,2.155,1.8875,vdd,gnd,"[1.82, 1.885]","[0.0, 0.065]","[""Z""]","[""B"", ""C""]","[""A"", ""VSS""]","[""VDD""]",True,
AND3,AND3_PNAND3_PINV_FPDK45,composite_gate,MX,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/AND3/clean.gds,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,2.155,1.8875,gnd,vdd,"[0.0024999999999999467, 0.0674999999999999]","[1.8225, 1.8875]","[""B"", ""C""]","[""Z""]","[""A"", ""VSS""]","[""VDD""]",True,
AND3,AND3_PNAND3_PINV_FPDK45,composite_gate,MY,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/AND3/clean.gds,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,2.155,1.8875,vdd,gnd,"[1.82, 1.885]","[0.0, 0.065]","[""Z""]","[""B"", ""C""]","[""VDD""]","[""A"", ""VSS""]",True,
WORDLINEDRIVER,wordline_driver_v2,composite_gate,R0,outputs/PROJECT_wordline_driver_v2_regen/current_supported_config/wordline_driver_v2.gds,d88cd3d15b7306faf8f932455b55f48e85cdf872f786b988dbab22cc5853291f,2.16,1.8875,vdd,gnd,"[1.82, 1.885]","[0.0, 0.065]","[""A"", ""B""]","[""Z""]","[""VDD""]","[""VSS""]",True,
WORDLINEDRIVER,wordline_driver_v2,composite_gate,R180,outputs/PROJECT_wordline_driver_v2_regen/current_supported_config/wordline_driver_v2.gds,d88cd3d15b7306faf8f932455b55f48e85cdf872f786b988dbab22cc5853291f,2.16,1.8875,vdd,gnd,"[1.82, 1.885]","[0.0, 0.065]","[""Z""]","[""A"", ""B""]","[""VSS""]","[""VDD""]",True,
WORDLINEDRIVER,wordline_driver_v2,composite_gate,MX,outputs/PROJECT_wordline_driver_v2_regen/current_supported_config/wordline_driver_v2.gds,d88cd3d15b7306faf8f932455b55f48e85cdf872f786b988dbab22cc5853291f,2.16,1.8875,gnd,vdd,"[0.0024999999999999467, 0.0674999999999999]","[1.8225, 1.8875]","[""A"", ""B""]","[""Z""]","[""VSS""]","[""VDD""]",True,
WORDLINEDRIVER,wordline_driver_v2,composite_gate,MY,outputs/PROJECT_wordline_driver_v2_regen/current_supported_config/wordline_driver_v2.gds,d88cd3d15b7306faf8f932455b55f48e85cdf872f786b988dbab22cc5853291f,2.16,1.8875,vdd,gnd,"[1.82, 1.885]","[0.0, 0.065]","[""Z""]","[""A"", ""B""]","[""VDD""]","[""VSS""]",True,
