actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.5084,3.18,4.0,0,CLK,9.73,6,0
11.7504,3.405,4.0,0,CLKB,10.88,6,0
0.6804,0.63,0.0,0,D,0.63,2,0
3.4722,1.205,1.19,0,D_b,3.215,4,0
4.4793,3.53,0.6175,0,Q,4.1475,4,0
3.4722,1.205,1.19,0,QB,3.215,4,0
17.1072,5.1,4.82,0,VDD,15.84,7,0
17.1072,5.1,4.82,0,VSS,15.84,7,0
7.8489,5.955,0.37,0,z1,7.2675,6,0
11.5533,6.08,4.6175,0,z2,10.6975,6,0
3.4722,1.205,1.19,0,z3,3.215,4,0
3.4722,1.205,1.19,0,z4,3.215,4,0
7.8489,5.955,0.37,0,z5,7.2675,6,0
