actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
12.3876,8.36,1.2,0,CLK,11.47,6,0
12.2175,8.71,1.2,0,CLKB,11.3125,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
3.5586,1.285,1.19,0,D_b,3.295,4,0
10.0737,8.71,0.6175,0,Q,9.3275,4,0
3.5586,1.285,1.19,0,QB,3.295,4,0
16.6104,10.2,2.02,0,VDD,15.38,7,0
16.6104,10.2,2.02,0,VSS,15.38,7,0
9.7281,6.035,1.57,0,z1,9.0075,6,0
8.5779,6.16,1.2,0,z2,7.9425,6,0
3.5586,1.285,1.19,0,z3,3.295,4,0
3.5586,1.285,1.19,0,z4,3.295,4,0
12.4821,8.585,1.57,0,z5,11.5575,6,0
