DRC,LVS,M1,M2,M3,VIA1,VIA2,area,candidate,high_layer_ratio,role
DRC_PASS,LVS_FAIL,,,,,,9.1017,DFF_TOPO_SHARED_00_7_TRAIL,0.0,historical_9p1_style
DRC_PASS,LVS_PASS,,,,,,58.450613,DFF_TG4_INV7,0.0,tg4_qor_reference
DRC_PASS,LVS_PASS,28.755,86.79,32.525,27,19,27.359312,DFF_9P1_LOCAL_IC_TP215,0.805801,tp215_rejected_style
DRC_PASS,LVS_PASS,28.755,24.49,32.525,27,19,18.78775,DFF_4I_LOCAL_Z2_SHIFT,0.664743,best_area_valid
DRC_PASS,LVS_PASS,28.755,24.79,32.525,27,19,18.78775,DFF_4I_LOCAL_D_SHIFT,0.665911,best_locality_valid
DRC_PASS,LVS_PASS,28.755,25.09,32.525,27,19,18.78775,DFF_4I_LOCAL_WIDE_D,0.667072,best_balanced_valid
