actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.044,3.18,3.4,0,CLK,9.3,6,0
10.9971,3.405,3.4,0,CLKB,10.1825,6,0
0.6804,0.63,0.0,0,D,0.63,2,0
2.3706,1.205,0.68,0,D_b,2.195,4,0
2.3328,1.205,0.4775,0,Q,2.16,4,0
2.3706,1.205,0.68,0,QB,2.195,4,0
9.3636,2.55,3.4,0,VDD,8.67,7,0
9.3636,2.55,3.4,0,VSS,8.67,7,0
7.4007,3.755,1.5625,0,z1,6.8525,6,0
7.29,3.53,2.5175,0,z2,6.75,6,0
2.3706,1.205,0.68,0,z3,2.195,4,0
2.3706,1.205,0.68,0,z4,2.195,4,0
7.4007,3.755,1.5625,0,z5,6.8525,6,0
