candidate,diffusion_breaks,mos_type,trail_count,trail_endpoints,trails,useful_shared_diffusion
PMOS_TRAIL_0,2,PMOS,3,"[[""VDD"", ""VDD""], [""z2"", ""Q""], [""CLKB"", ""VDD""]]","[[""inv7_MP"", ""tg4_MP"", ""tg3_MP"", ""inv5_MP""], [""inv3_MP"", ""inv4_MP"", ""tg2_MP"", ""tg1_MP"", ""inv2_D_MP"", ""inv6_MP""], [""inv1_clk_MP""]]",8
PMOS_TRAIL_1,2,PMOS,3,"[[""VDD"", ""Q""], [""z2"", ""VDD""], [""CLKB"", ""VDD""]]","[[""inv7_MP"", ""tg4_MP"", ""tg3_MP"", ""inv5_MP"", ""inv6_MP""], [""inv3_MP"", ""inv4_MP"", ""tg2_MP"", ""tg1_MP"", ""inv2_D_MP""], [""inv1_clk_MP""]]",8
PMOS_TRAIL_2,1,PMOS,2,"[[""Q"", ""z2""], [""CLKB"", ""VDD""]]","[[""inv6_MP"", ""inv7_MP"", ""tg4_MP"", ""tg3_MP"", ""inv5_MP"", ""inv4_MP"", ""tg2_MP"", ""tg1_MP"", ""inv2_D_MP"", ""inv3_MP""], [""inv1_clk_MP""]]",9
NMOS_TRAIL_0,2,NMOS,3,"[[""VSS"", ""VSS""], [""z2"", ""Q""], [""CLKB"", ""VSS""]]","[[""inv7_MN"", ""tg4_MN"", ""tg3_MN"", ""inv5_MN""], [""inv3_MN"", ""inv4_MN"", ""tg2_MN"", ""tg1_MN"", ""inv2_D_MN"", ""inv6_MN""], [""inv1_clk_MN""]]",8
NMOS_TRAIL_1,2,NMOS,3,"[[""VSS"", ""Q""], [""z2"", ""VSS""], [""CLKB"", ""VSS""]]","[[""inv7_MN"", ""tg4_MN"", ""tg3_MN"", ""inv5_MN"", ""inv6_MN""], [""inv3_MN"", ""inv4_MN"", ""tg2_MN"", ""tg1_MN"", ""inv2_D_MN""], [""inv1_clk_MN""]]",8
NMOS_TRAIL_2,1,NMOS,2,"[[""Q"", ""z2""], [""CLKB"", ""VSS""]]","[[""inv6_MN"", ""inv7_MN"", ""tg4_MN"", ""tg3_MN"", ""inv5_MN"", ""inv4_MN"", ""tg2_MN"", ""tg1_MN"", ""inv2_D_MN"", ""inv3_MN""], [""inv1_clk_MN""]]",9
