instance,asset_id,gds_path,gds_sha,top_cell,x,y,orientation
row_path,row_path_p3,outputs/PROJECT_decoder_real_array_integration_v1/P3_REAL_ARRAY_V1/integration_shell_clean.gds,0ab2ad45d27cb0c925b52a3866efb540e4e72a8d0d7cbe6c5056f89b11bff187,P3_REAL_ARRAY_V1_integration_shell,0.0,0.0,R0
precharge,precharge,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b,gen_precharge,12.6003,53.62,R0
sense_amp,sense_amp,outputs/openyield_module_gds/sense_amp/sense_amp.gds,f5dea51b6030e141c6f768548849ae99780f11d1b8f662d1e4b70cc692c09adf,sense_amp,12.6003,-18.01,R0
write_driver,write_driver,outputs/openyield_module_gds/write_driver/write_driver.gds,50fb6e598520b5b17b9ec976c435430c6e1027673550c9b6b465c7f0526edbf8,write_driver,63.0015,-16.175,R0
control_block,control_block_alt,outputs/PROJECT_full_single_bank_sram/control_block/candidates/C5_TIMING_CHAIN_STAGGERED_CHANNEL/clean.gds,ab283ece83b37a8205a0f52f60514333692da55c8f38690b28a25871b0f71105,control_block_hierarchical_v1_c5_timing_chain_staggered_channel,-279.64,-27.1495,R0
