actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.5624,3.26,5.0,0,CLK,9.78,6,0
10.3923,3.61,5.0,0,CLKB,9.6225,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
3.6882,1.285,1.25,0,D_b,3.415,4,0
3.5667,1.285,1.0825,0,Q,3.3025,4,0
3.6882,1.285,1.25,0,QB,3.415,4,0
9.9468,2.55,5.88,0,VDD,9.21,7,0
9.9468,2.55,5.88,0,VSS,9.21,7,0
8.2377,1.285,3.6275,0,z1,7.6275,6,0
4.9005,1.285,1.7,0,z2,4.5375,6,0
3.6882,1.285,1.25,0,z3,3.415,4,0
3.6882,1.285,1.25,0,z4,3.415,4,0
8.0703,1.285,3.5275,0,z5,7.4725,6,0
