instance,asset,x0,y0,x1,y1,width,height,orientation
row_path,row_path,0,0,105.00250000000001,41.620000000000005,105.00250000000001,41.620000000000005,R0
precharge,precharge,5.250125000000001,47.620000000000005,5.962625000000001,49.010000000000005,0.7125,1.3900000000000001,R0
sense_amp,sense_amp,15.750375000000002,-12.01,16.525375,-6.0,0.775,6.01,R0
write_driver,write_driver,44.10105,-10.175,44.941050000000004,-6.000000000000001,0.84,4.175,R0
control_block,control_v2_a,-174.0,0.0,-6.0,184.0,168.0,184.0,R0
