canonical_physical_cell_name,requested_nmos_width_nm,requested_pmos_width_nm,requested_length_nm,calculated_openram_size,calculated_openram_beta,openram_height,actual_nmos_width_nm,actual_pmos_width_nm,actual_length_nm,width_error_nm,pmos_width_error_nm,length_error_nm,actual_finger_count,parameter_match,mapping_status,failure_reason
PINV_NW180_PW270_L50,180,270,50,2.0,1.5,1.82,180,270,50,0,0,0,1,True,EXACT_MATCH,
PINV_NW180_PW540_L50,180,540,50,2.0,3.0,1.82,180,540,50,0,0,0,1,True,EXACT_MATCH,
PINV_NW2430_PW7290_L50,2430,7290,50,27.0,3.0,1.82,2438,7280,50,8,-10,0,13,True,GRID_ROUNDED_WITHIN_TOLERANCE,
PINV_NW250_PW500_L50,250,500,50,2.7777777777777777,2.0,1.82,250,500,50,0,0,0,1,True,EXACT_MATCH,
PINV_NW270_PW810_L50,270,810,50,3.0,3.0,1.82,270,810,50,0,0,0,2,True,EXACT_MATCH,
PINV_NW360_PW1080_L50,360,1080,50,4.0,3.0,1.82,360,1080,50,0,0,0,2,True,EXACT_MATCH,
PINV_NW450_PW1350_L50,450,1350,50,5.0,3.0,1.82,450,1350,50,0,0,0,3,True,EXACT_MATCH,
PINV_NW90_PW270_L50,90,270,50,1.0,3.0,1.82,90,270,50,0,0,0,1,True,EXACT_MATCH,
PINV_NW910_PW2430_L50,910,2430,50,10.11111111111111,2.67032967032967,1.82,912,2425,50,2,-5,0,5,True,GRID_ROUNDED_WITHIN_TOLERANCE,
