instance,legal,orientation,source,type
tg3_MP,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
tg3_MP,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
tg3_MN,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
tg3_MN,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
tg3_MN,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
tg3_MN,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
tg4_MP,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
tg4_MP,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
tg4_MP,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
tg4_MP,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
tg4_MN,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
tg4_MN,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
tg4_MN,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
tg4_MN,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
