actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
14.2668,5.89,3.96,0,CLK,13.21,6,0
15.0336,5.89,3.96,0,CLKB,13.92,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
2.7162,1.365,0.76,0,D_b,2.515,4,0
2.6784,1.365,0.5575,0,Q,2.48,4,0
2.7162,1.365,0.76,0,QB,2.515,4,0
14.1048,5.1,3.96,0,VDD,13.06,7,0
14.1048,5.1,3.96,0,VSS,13.06,7,0
11.1888,6.465,1.7225,0,z1,10.36,6,0
9.9576,6.24,2.1975,0,z2,9.22,6,0
2.7162,1.365,0.76,0,z3,2.515,4,0
2.7162,1.365,0.76,0,z4,2.515,4,0
11.1888,6.465,1.7225,0,z5,10.36,6,0
