wl,simulation_model,ngspice_returncode,t50_rise_s,t50_fall_s,slew_rise_s,slew_fall_s,final_high_v,final_low_v,passed
WL0,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.097389e-11,4.507566e-11,3.2527250000000005e-11,4.6106960000000006e-11,1.099997,1.099997,True
WL1,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.078062e-11,4.487912e-11,3.209121e-11,4.554857e-11,1.099997,1.099997,True
WL2,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.097389e-11,4.507566e-11,3.2527250000000005e-11,4.6106960000000006e-11,1.099997,1.099997,True
WL3,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.078062e-11,4.487912e-11,3.209121e-11,4.554857e-11,1.099997,1.099997,True
WL4,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.097389e-11,4.507566e-11,3.2527250000000005e-11,4.6106960000000006e-11,1.099997,1.099997,True
WL5,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.078062e-11,4.487912e-11,3.209121e-11,4.554857e-11,1.099997,1.099997,True
WL6,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.097389e-11,4.507566e-11,3.2527250000000005e-11,4.6106960000000006e-11,1.099997,1.099997,True
WL7,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.078062e-11,4.487912e-11,3.209121e-11,4.554857e-11,1.099997,1.099997,True
WL8,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.097389e-11,4.507566e-11,3.2527250000000005e-11,4.6106960000000006e-11,1.099997,1.099997,True
WL9,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.078062e-11,4.487912e-11,3.209121e-11,4.554857e-11,1.099997,1.099997,True
WL10,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.097389e-11,4.507566e-11,3.2527250000000005e-11,4.6106960000000006e-11,1.099997,1.099997,True
WL11,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.078062e-11,4.487912e-11,3.209121e-11,4.554857e-11,1.099997,1.099997,True
WL12,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.097389e-11,4.507566e-11,3.2527250000000005e-11,4.6106960000000006e-11,1.099997,1.099997,True
WL13,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.078062e-11,4.487912e-11,3.209121e-11,4.554857e-11,1.099997,1.099997,True
WL14,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.097389e-11,4.507566e-11,3.2527250000000005e-11,4.6106960000000006e-11,1.099997,1.099997,True
WL15,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.078062e-11,4.487912e-11,3.209121e-11,4.554857e-11,1.099997,1.099997,True
