wl,decoder_to_driver_length_um,driver_to_array_length_um,complete_path_metal_length_um,complete_path_via_count,complete_path_bend_count,input_normalized_r_proxy,input_normalized_c_proxy,output_normalized_r_proxy,output_normalized_c_proxy,complete_path_normalized_rc_proxy,rc_evidence_level,not_post_layout_pex
WL0,47.1,22.9075,70.0075,7,7,687.918132,6.573425,346.343956,3.186175,5625.4907,NORMALIZED_GEOMETRY_RC_PROXY,True
WL1,55.2325,18.7475,73.98,7,7,804.099451,7.71195,286.915385,2.603775,6948.237864,NORMALIZED_GEOMETRY_RC_PROXY,True
WL2,40.4075,22.9075,63.315,7,7,592.313736,5.63645,346.343956,3.186175,4442.059213,NORMALIZED_GEOMETRY_RC_PROXY,True
WL3,48.5375,18.7475,67.285,7,7,708.459341,6.774625,286.915385,2.603775,5546.609467,NORMALIZED_GEOMETRY_RC_PROXY,True
WL4,33.71,22.9075,56.6175,7,7,496.632418,4.698825,346.343956,3.186175,3437.101274,NORMALIZED_GEOMETRY_RC_PROXY,True
WL5,41.8425,18.7475,60.59,7,7,612.813736,5.83735,286.915385,2.603775,4324.271369,NORMALIZED_GEOMETRY_RC_PROXY,True
WL6,30.1375,22.9075,53.045,7,7,445.599451,4.19865,346.343956,3.186175,2974.428587,NORMALIZED_GEOMETRY_RC_PROXY,True
WL7,35.1475,18.7475,53.895,7,7,517.173626,4.900025,286.915385,2.603775,3281.226805,NORMALIZED_GEOMETRY_RC_PROXY,True
WL8,53.965,22.9075,76.8725,7,7,785.995055,7.534475,346.343956,3.186175,7025.572546,NORMALIZED_GEOMETRY_RC_PROXY,True
WL9,59.4475,18.7475,78.195,7,9,864.310989,8.302075,286.915385,2.603775,7922.63776,NORMALIZED_GEOMETRY_RC_PROXY,True
WL10,52.73,22.9075,75.6375,7,7,768.352198,7.361575,346.343956,3.186175,6759.794785,NORMALIZED_GEOMETRY_RC_PROXY,True
WL11,58.2125,18.7475,76.96,7,9,846.668132,8.129175,286.915385,2.603775,7629.776517,NORMALIZED_GEOMETRY_RC_PROXY,True
WL12,51.49,22.9075,74.3975,7,8,750.635165,7.188,346.343956,3.186175,6499.078019,NORMALIZED_GEOMETRY_RC_PROXY,True
WL13,56.9775,18.7475,75.725,7,10,829.025275,7.956275,286.915385,2.603775,7343.016174,NORMALIZED_GEOMETRY_RC_PROXY,True
WL14,50.26,22.9075,73.1675,7,8,733.066484,7.015775,346.343956,3.186175,6246.541962,NORMALIZED_GEOMETRY_RC_PROXY,True
WL15,55.745,18.7475,74.4925,7,10,811.420879,7.7837,286.915385,2.603775,7062.919803,NORMALIZED_GEOMETRY_RC_PROXY,True
