instance,cell,orientation,endpoint_net,endpoint_layer,endpoint_bbox,top_component_id,witness_path_shape_count,witness_path_via_count,passed,endpoint_component_id,witness_path_shape_ids
upper_enable_stage/and3_pre_2,AND3,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 53.2575, ""rx"": 55.3025, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and3_pre_2,AND3,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 53.2575, ""rx"": 55.3025, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and2_en_2,AND2,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 55.4125, ""rx"": 57.1125, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and2_en_2,AND2,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 55.4125, ""rx"": 57.1125, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and3_pre_4,AND3,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 57.2225, ""rx"": 59.2675, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and3_pre_4,AND3,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 57.2225, ""rx"": 59.2675, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and2_en_4,AND2,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 59.3775, ""rx"": 61.0775, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and2_en_4,AND2,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 59.3775, ""rx"": 61.0775, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and3_pre_6,AND3,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 61.1875, ""rx"": 63.2325, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and3_pre_6,AND3,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 61.1875, ""rx"": 63.2325, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and2_en_6,AND2,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 63.3425, ""rx"": 65.0425, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and2_en_6,AND2,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 63.3425, ""rx"": 65.0425, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and3_pre_1,AND3,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 46.9, ""rx"": 48.945, ""uy"": 10.1075}",via5_513,29,10,True,via5_513,"[""m1_1587"", ""m1_1590"", ""via1_1591"", ""m2_1592"", ""via1_1586"", ""m1_1585"", ""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and3_pre_1,AND3,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 46.9, ""rx"": 48.945, ""uy"": 8.2875}",via5_1035,27,10,True,via5_1035,"[""m1_1598"", ""m1_1601"", ""via1_1602"", ""m2_1603"", ""via1_1597"", ""m1_1596"", ""via1_530"", ""m2_532"", ""via2_536"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and2_en_1,AND2,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 49.055, ""rx"": 50.755, ""uy"": 10.1075}",via5_513,29,10,True,via5_513,"[""m1_1587"", ""m1_1590"", ""via1_1591"", ""m2_1592"", ""via1_1586"", ""m1_1585"", ""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and2_en_1,AND2,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 49.055, ""rx"": 50.755, ""uy"": 8.2875}",via5_1035,27,10,True,via5_1035,"[""m1_1598"", ""m1_1601"", ""via1_1602"", ""m2_1603"", ""via1_1597"", ""m1_1596"", ""via1_530"", ""m2_532"", ""via2_536"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and3_pre_3,AND3,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 50.865, ""rx"": 52.91, ""uy"": 10.1075}",via5_513,29,10,True,via5_513,"[""m1_1587"", ""m1_1590"", ""via1_1591"", ""m2_1592"", ""via1_1586"", ""m1_1585"", ""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and3_pre_3,AND3,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 50.865, ""rx"": 52.91, ""uy"": 8.2875}",via5_1035,27,10,True,via5_1035,"[""m1_1598"", ""m1_1601"", ""via1_1602"", ""m2_1603"", ""via1_1597"", ""m1_1596"", ""via1_530"", ""m2_532"", ""via2_536"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
