wl,model,t50_rise_s,t50_fall_s,slew_rise_s,slew_fall_s,final_high_v,final_low_v,ngspice_returncode,passed
WL0,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.126025e-11,4.537226e-11,3.2523069999999996e-11,4.6111989999999995e-11,1.099997,1.099997,0,True
WL1,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.115105e-11,4.526012e-11,3.210701e-11,4.557087e-11,1.099997,1.099997,0,True
WL2,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.119979e-11,4.530971e-11,3.2524949999999996e-11,4.611218e-11,1.099997,1.099997,0,True
WL3,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.108153e-11,4.518887e-11,3.210579e-11,4.556827e-11,1.099997,1.099997,0,True
WL4,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.11466e-11,4.525406e-11,3.252606e-11,4.6111699999999995e-11,1.099997,1.099997,0,True
WL5,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.10196e-11,4.512468e-11,3.210391e-11,4.556558999999999e-11,1.099997,1.099997,0,True
WL6,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.112062e-11,4.522722e-11,3.2526400000000006e-11,4.6111319999999996e-11,1.099997,1.099997,0,True
WL7,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.096484e-11,4.506747e-11,3.210165e-11,4.5562500000000004e-11,1.099997,1.099997,0,True
WL8,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.133008e-11,4.544375e-11,3.2518820000000005e-11,4.611133e-11,1.099997,1.099997,0,True
WL9,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.119778e-11,4.530862e-11,3.210728e-11,4.5572240000000005e-11,1.099997,1.099997,0,True
WL10,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.131628e-11,4.543034e-11,3.2519460000000006e-11,4.6111490000000003e-11,1.099997,1.099997,0,True
WL11,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.118381e-11,4.529412e-11,3.210725e-11,4.557187e-11,1.099997,1.099997,0,True
WL12,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.130353e-11,4.541712e-11,3.2520069999999996e-11,4.6111640000000006e-11,1.099997,1.099997,0,True
WL13,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.117007e-11,4.527986e-11,3.2107179999999994e-11,4.557147e-11,1.099997,1.099997,0,True
WL14,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.129111e-11,4.540424e-11,3.2521830000000004e-11,4.611175e-11,1.099997,1.099997,0,True
WL15,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.115659e-11,4.526587e-11,3.210707000000001e-11,4.557104e-11,1.099997,1.099997,0,True
