wl,decoder_child_pin,wl_driver_instance,array_child_pin,decoder_center_x,decoder_center_y,driver_input_center_x,driver_input_center_y,driver_output_center_x,driver_output_center_y,array_center_x,array_center_y,driver_row_alignment_delta_y,driver_row_alignment_delta_over_pitch,route_length,driver_input_route_length,via_count,bend_count,driver_output_to_array_crossing,swap,missing,duplicate
WL0,decoder_top.WL0,wl_driver_0,array_stack.WL0,28.81625,9.3325,67.1525,2.7025,68.655,3.14,90.7525,3.14,0.0,0.0,24.6325,50.02,4,0,False,False,False,False
WL1,decoder_top.WL1,wl_driver_1,array_stack.WL1,26.42375,13.32,71.3125,5.1125,72.815,5.55,90.7525,5.55,0.0,0.0,20.4725,58.1525,4,0,False,False,False,False
WL2,decoder_top.WL2,wl_driver_2,array_stack.WL2,32.78125,9.3325,67.1525,5.4325,68.655,5.87,90.7525,5.87,0.0,0.0,24.6325,43.3275,4,0,False,False,False,False
WL3,decoder_top.WL3,wl_driver_3,array_stack.WL3,30.38875,13.32,71.3125,7.8425,72.815,8.28,90.7525,8.28,0.0,0.0,20.4725,51.4575,4,0,False,False,False,False
WL4,decoder_top.WL4,wl_driver_4,array_stack.WL4,36.74625,9.3325,67.1525,8.1625,68.655,8.6,90.7525,8.6,0.0,0.0,24.6325,36.63,4,0,False,False,False,False
WL5,decoder_top.WL5,wl_driver_5,array_stack.WL5,34.35375,13.32,71.3125,10.5725,72.815,11.01,90.7525,11.01,0.0,0.0,20.4725,44.7625,4,0,False,False,False,False
WL6,decoder_top.WL6,wl_driver_6,array_stack.WL6,40.71125,9.3325,67.1525,10.8925,68.655,11.33,90.7525,11.33,0.0,0.0,24.6325,33.0575,4,0,False,False,False,False
WL7,decoder_top.WL7,wl_driver_7,array_stack.WL7,38.31875,13.32,71.3125,13.3025,72.815,13.74,90.7525,13.74,0.0,0.0,20.4725,38.0675,4,0,False,False,False,False
WL8,decoder_top.WL8,wl_driver_8,array_stack.WL8,28.81625,0.9325,67.1525,13.6225,68.655,14.06,90.7525,14.06,0.0,0.0,24.6325,56.885,4,0,False,False,False,False
WL9,decoder_top.WL9,wl_driver_9,array_stack.WL9,26.42375,4.92,71.3125,16.0325,72.815,16.47,90.7525,16.47,0.0,0.0,20.4725,62.6375,4,0,False,False,False,False
WL10,decoder_top.WL10,wl_driver_10,array_stack.WL10,32.78125,0.9325,67.1525,16.3525,68.655,16.79,90.7525,16.79,0.0,0.0,24.6325,55.65,4,0,False,False,False,False
WL11,decoder_top.WL11,wl_driver_11,array_stack.WL11,30.38875,4.92,71.3125,18.7625,72.815,19.2,90.7525,19.2,0.0,0.0,20.4725,61.4025,4,0,False,False,False,False
WL12,decoder_top.WL12,wl_driver_12,array_stack.WL12,36.74625,0.9325,67.1525,19.0825,68.655,19.52,90.7525,19.52,0.0,0.0,24.6325,54.41,4,0,False,False,False,False
WL13,decoder_top.WL13,wl_driver_13,array_stack.WL13,34.35375,4.92,71.3125,21.4925,72.815,21.93,90.7525,21.93,0.0,0.0,20.4725,60.1675,4,0,False,False,False,False
WL14,decoder_top.WL14,wl_driver_14,array_stack.WL14,40.71125,0.9325,67.1525,21.8125,68.655,22.25,90.7525,22.25,0.0,0.0,24.6325,53.18,4,0,False,False,False,False
WL15,decoder_top.WL15,wl_driver_15,array_stack.WL15,38.31875,4.92,71.3125,24.2225,72.815,24.66,90.7525,24.66,0.0,0.0,20.4725,58.935,4,0,False,False,False,False
