candidate_id,relative_path,size_bytes,top_cell,cell_count,sref_count,boundary_count,bbox,contains_complete_sram_top,candidate_score,mux_present,power_rail_overlap_positive_count,rail_stitch_visible,selection_reasons,selected_as_golden
GDS_055,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.gds,261370,sram_2x16_wpr1_fd45,33,219,3738,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 15.2025, ""y1"": 47.015, ""width"": 15.3025, ""height"": 47.12, ""shape_count"": 3738}",True,89,True,30,True,filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_056,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.integration.gds,100136,sram_2x16_wpr1_fd45,1,0,1554,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 15.2025, ""y1"": 47.015, ""width"": 15.2025, ""height"": 47.015, ""shape_count"": 1554}",True,-13,False,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: integration; top cell looks like SRAM top,False
GDS_057,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.presentation.gds,254388,sram_2x16_wpr1_fd45,33,219,3738,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 15.2025, ""y1"": 47.015, ""width"": 15.3025, ""height"": 47.12, ""shape_count"": 3738}",True,29,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: presentation; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_058,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.route_guides.gds,289850,sram_2x16_wpr1_fd45,33,219,4183,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 15.2025, ""y1"": 47.015, ""width"": 15.3025, ""height"": 47.12, ""shape_count"": 4183}",True,29,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: route_guides; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_059,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.architecture.gds,356462,sram_32x16_wpr1_fd45,33,879,4804,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 52.755, ""width"": 39.3225, ""height"": 52.86, ""shape_count"": 4804}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: architecture; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_060,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.complete.gds,473194,sram_32x16_wpr1_fd45,33,879,6643,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 52.755, ""width"": 39.3225, ""height"": 52.86, ""shape_count"": 6643}",True,134,True,30,True,filename contains complete; filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_061,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.debug.gds,478766,sram_32x16_wpr1_fd45,33,879,6715,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 52.755, ""width"": 39.3225, ""height"": 52.86, ""shape_count"": 6715}",True,34,True,30,True,filename contains final/full/top; filename contains sram; non-golden export class: debug; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_062,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.gds,350890,sram_32x16_wpr1_fd45,33,879,4732,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 52.755, ""width"": 39.3225, ""height"": 52.86, ""shape_count"": 4732}",True,94,True,30,True,filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_063,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.integration.gds,166376,sram_32x16_wpr1_fd45,1,0,2548,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 39.2225, ""y1"": 52.755, ""width"": 39.2225, ""height"": 52.755, ""shape_count"": 2548}",True,-8,False,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: integration; top cell looks like SRAM top,False
GDS_064,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.presentation.gds,341284,sram_32x16_wpr1_fd45,33,879,4732,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 52.755, ""width"": 39.3225, ""height"": 52.86, ""shape_count"": 4732}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: presentation; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
