file_id,relative_path,file_type,extension,size_bytes
ZIP_0082,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.accepted_rejected_candidates.svg,image,.svg,8010
ZIP_0083,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.after_floorplan.svg,image,.svg,6983
ZIP_0084,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.before_floorplan.svg,image,.svg,6984
ZIP_0085,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.complete.gds,gds,.gds,381066
ZIP_0086,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.gds,gds,.gds,339914
ZIP_0087,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.integration.gds,gds,.gds,171584
ZIP_0088,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.layout.json,json,.json,1459338
ZIP_0089,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.lef,design_artifact,.lef,3333
ZIP_0090,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.left_side_compound_whitespace.svg,image,.svg,6997
ZIP_0091,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.moved_module_arrows.svg,image,.svg,7350
ZIP_0092,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.occupancy.svg,image,.svg,6462
ZIP_0093,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.presentation.gds,gds,.gds,332716
ZIP_0094,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.report.json,json,.json,1396022
ZIP_0095,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.report.md,text_report,.md,49661
ZIP_0096,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.sp,design_artifact,.sp,21849
ZIP_0097,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.two_zone_repacking.svg,image,.svg,7349
ZIP_0098,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.accepted_rejected_candidates.svg,image,.svg,8009
ZIP_0099,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.after_floorplan.svg,image,.svg,6982
ZIP_0100,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.before_floorplan.svg,image,.svg,6983
ZIP_0101,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.complete.gds,gds,.gds,317462
ZIP_0102,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.gds,gds,.gds,279254
ZIP_0103,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.integration.gds,gds,.gds,113792
ZIP_0104,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.layout.json,json,.json,966853
ZIP_0105,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.lef,design_artifact,.lef,3325
ZIP_0106,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.left_side_compound_whitespace.svg,image,.svg,6996
ZIP_0107,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.moved_module_arrows.svg,image,.svg,7349
ZIP_0108,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.occupancy.svg,image,.svg,6459
ZIP_0109,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.presentation.gds,gds,.gds,272056
ZIP_0110,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.report.json,json,.json,1145005
ZIP_0111,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.report.md,text_report,.md,49519
ZIP_0112,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.sp,design_artifact,.sp,17291
ZIP_0113,full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.two_zone_repacking.svg,image,.svg,7348
ZIP_0114,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.accepted_rejected_candidates.svg,image,.svg,6032
ZIP_0115,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.after_floorplan.svg,image,.svg,5005
ZIP_0116,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.before_floorplan.svg,image,.svg,5006
ZIP_0117,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.complete.gds,gds,.gds,1000650
ZIP_0118,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.gds,gds,.gds,763338
ZIP_0119,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.integration.gds,gds,.gds,436672
ZIP_0120,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.layout.json,json,.json,4083153
ZIP_0121,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.lef,design_artifact,.lef,21975
ZIP_0122,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.left_side_compound_whitespace.svg,image,.svg,5019
ZIP_0123,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.moved_module_arrows.svg,image,.svg,5272
ZIP_0124,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.occupancy.svg,image,.svg,5654
ZIP_0125,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.presentation.gds,gds,.gds,750828
ZIP_0126,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.report.json,json,.json,3318089
ZIP_0127,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.report.md,text_report,.md,53691
ZIP_0128,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.sp,design_artifact,.sp,258692
ZIP_0129,full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.two_zone_repacking.svg,image,.svg,5271
ZIP_0130,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.accepted_rejected_candidates.svg,image,.svg,7281
ZIP_0131,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.after_floorplan.svg,image,.svg,6254
ZIP_0132,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.before_floorplan.svg,image,.svg,6255
ZIP_0133,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.complete.gds,gds,.gds,389826
ZIP_0134,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.gds,gds,.gds,327426
ZIP_0135,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.integration.gds,gds,.gds,145860
ZIP_0136,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.layout.json,json,.json,1253895
ZIP_0137,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.lef,design_artifact,.lef,4689
ZIP_0138,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.left_side_compound_whitespace.svg,image,.svg,6268
ZIP_0139,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.moved_module_arrows.svg,image,.svg,6258
ZIP_0140,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.occupancy.svg,image,.svg,5995
ZIP_0141,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.presentation.gds,gds,.gds,319840
ZIP_0142,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.report.json,json,.json,1372047
ZIP_0143,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.report.md,text_report,.md,51626
ZIP_0144,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.sp,design_artifact,.sp,40926
ZIP_0145,full_layout_collection/_all_gds_and_reports/sram_8x64_wpr4__sram_8x64_wpr4_fd45.two_zone_repacking.svg,image,.svg,6257
ZIP_0146,full_layout_collection/sram_16x16_wpr1/.run.log,text_report,.log,2625040
ZIP_0147,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.accepted_rejected_candidates.svg,image,.svg,7879
ZIP_0148,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.after_floorplan.svg,image,.svg,6852
ZIP_0149,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.architecture.gds,gds,.gds,308654
ZIP_0150,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.architecture.svg,image,.svg,2144
ZIP_0151,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.before_floorplan.svg,image,.svg,6853
ZIP_0152,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.complete.gds,gds,.gds,375402
ZIP_0153,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.debug.gds,gds,.gds,380974
ZIP_0154,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.gds,gds,.gds,303082
ZIP_0155,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.integration.gds,gds,.gds,130984
ZIP_0156,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.layout.json,json,.json,1215721
ZIP_0157,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.lef,design_artifact,.lef,6858
ZIP_0158,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.left_side_compound_whitespace.svg,image,.svg,6866
ZIP_0159,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.moved_module_arrows.svg,image,.svg,7121
ZIP_0160,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.occupancy.svg,image,.svg,5920
ZIP_0161,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.presentation.gds,gds,.gds,294884
ZIP_0162,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.report.json,json,.json,1312519
ZIP_0163,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.report.md,text_report,.md,51291
ZIP_0164,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.route_guides.gds,gds,.gds,375402
ZIP_0165,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.sp,design_artifact,.sp,27542
ZIP_0166,full_layout_collection/sram_16x16_wpr1/sram_16x16_wpr1_fd45.two_zone_repacking.svg,image,.svg,7120
ZIP_0167,full_layout_collection/sram_16x32_wpr2/.run.log,text_report,.log,2960610
ZIP_0168,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.accepted_rejected_candidates.svg,image,.svg,6787
ZIP_0169,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.after_floorplan.svg,image,.svg,5760
ZIP_0170,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.architecture.gds,gds,.gds,339222
ZIP_0171,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.architecture.svg,image,.svg,2147
