wl,simulation_model,ngspice_returncode,t50_rise_s,t50_fall_s,slew_rise_s,slew_fall_s,final_high_v,final_low_v,passed
WL0,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.095065e-11,4.505182e-11,3.247593e-11,4.604088000000001e-11,1.099997,1.099997,True
WL1,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.075741e-11,4.485563e-11,3.203734e-11,4.5480079999999995e-11,1.099997,1.099997,True
WL2,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.095065e-11,4.505182e-11,3.247593e-11,4.604088000000001e-11,1.099997,1.099997,True
WL3,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.075741e-11,4.485563e-11,3.203734e-11,4.5480079999999995e-11,1.099997,1.099997,True
WL4,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.095065e-11,4.505182e-11,3.247593e-11,4.604088000000001e-11,1.099997,1.099997,True
WL5,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.075741e-11,4.485563e-11,3.203734e-11,4.5480079999999995e-11,1.099997,1.099997,True
WL6,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.095065e-11,4.505182e-11,3.247593e-11,4.604088000000001e-11,1.099997,1.099997,True
WL7,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.075741e-11,4.485563e-11,3.203734e-11,4.5480079999999995e-11,1.099997,1.099997,True
WL8,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.095065e-11,4.505182e-11,3.247593e-11,4.604088000000001e-11,1.099997,1.099997,True
WL9,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.075741e-11,4.485563e-11,3.203734e-11,4.5480079999999995e-11,1.099997,1.099997,True
WL10,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.095065e-11,4.505182e-11,3.247593e-11,4.604088000000001e-11,1.099997,1.099997,True
WL11,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.075741e-11,4.485563e-11,3.203734e-11,4.5480079999999995e-11,1.099997,1.099997,True
WL12,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.095065e-11,4.505182e-11,3.247593e-11,4.604088000000001e-11,1.099997,1.099997,True
WL13,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.075741e-11,4.485563e-11,3.203734e-11,4.5480079999999995e-11,1.099997,1.099997,True
WL14,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.095065e-11,4.505182e-11,3.247593e-11,4.604088000000001e-11,1.099997,1.099997,True
WL15,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.075741e-11,4.485563e-11,3.203734e-11,4.5480079999999995e-11,1.099997,1.099997,True
