actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.5624,3.26,5.0,0,CLK,9.78,6,0
10.3923,3.61,5.0,0,CLKB,9.6225,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
3.429,1.285,1.13,0,D_b,3.175,4,0
3.4371,1.285,0.9625,0,Q,3.1825,4,0
3.429,1.285,1.13,0,QB,3.175,4,0
9.6876,2.55,5.76,0,VDD,8.97,7,0
9.6876,2.55,5.76,0,VSS,8.97,7,0
7.9785,1.285,3.3875,0,z1,7.3875,6,0
5.0301,1.285,1.7,0,z2,4.6575,6,0
3.429,1.285,1.13,0,z3,3.175,4,0
3.429,1.285,1.13,0,z4,3.175,4,0
7.8111,1.285,3.2875,0,z5,7.2325,6,0
