actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
12.798,5.89,3.68,0,CLK,11.85,6,0
14.121,5.89,3.68,0,CLKB,13.075,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
2.9754,1.365,0.88,0,D_b,2.755,4,0
2.9376,1.365,0.6775,0,Q,2.72,4,0
2.9754,1.365,0.88,0,QB,2.755,4,0
10.8648,5.1,3.68,0,VDD,10.06,7,0
10.8648,5.1,3.68,0,VSS,10.06,7,0
6.3963,1.365,2.65,0,z1,5.9225,6,0
8.2863,6.115,0.88,0,z2,7.6725,6,0
2.9754,1.365,0.88,0,z3,2.755,4,0
2.9754,1.365,0.88,0,z4,2.755,4,0
6.3963,1.365,2.65,0,z5,5.9225,6,0
