actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.6704,5.89,2.8,0,CLK,9.88,6,0
10.8972,5.89,2.8,0,CLKB,10.09,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
3.645,1.365,1.19,0,D_b,3.375,4,0
3.6747,1.365,1.0225,0,Q,3.4025,4,0
3.645,1.365,1.19,0,QB,3.375,4,0
11.6424,5.1,3.62,0,VDD,10.78,7,0
11.6424,5.1,3.62,0,VSS,10.78,7,0
7.6815,1.365,3.2075,0,z1,7.1125,6,0
9.1827,6.115,1.0225,0,z2,8.5025,6,0
3.645,1.365,1.19,0,z3,3.375,4,0
3.645,1.365,1.19,0,z4,3.375,4,0
7.6815,1.365,3.2075,0,z5,7.1125,6,0
