actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
15.174,5.89,4.76,0,CLK,14.05,6,0
15.9975,5.89,4.76,0,CLKB,14.8125,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
2.5434,1.365,0.68,0,D_b,2.355,4,0
3.8205,1.365,1.1575,0,Q,3.5375,4,0
2.5434,1.365,0.68,0,QB,2.355,4,0
13.5864,5.1,4.76,0,VDD,12.58,7,0
13.5864,5.1,4.76,0,VSS,12.58,7,0
7.7787,1.365,3.77,0,z1,7.2025,6,0
9.1692,6.115,1.36,0,z2,8.49,6,0
4.0122,1.365,1.36,0,z3,3.715,4,0
4.0122,1.365,1.36,0,z4,3.715,4,0
7.0443,1.365,3.09,0,z5,6.5225,6,0
