source_top_name,clone_root_name,removed_label_count,internal_label_count_after_clone
PINV_NW250_PW500_L50,COMPOSE_CHILD__PINV_NW250_PW500_L50,4,0
TRANSMISSION_GATE_NW250_PW500_L50,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50,6,0
