actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
15.8112,5.89,3.2,0,CLK,14.64,6,0
13.6998,5.89,3.2,0,CLKB,12.685,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
3.645,1.365,1.19,0,D_b,3.375,4,0
3.6747,1.365,1.0225,0,Q,3.4025,4,0
3.645,1.365,1.19,0,QB,3.375,4,0
14.1048,5.1,4.02,0,VDD,13.06,7,0
14.1048,5.1,4.02,0,VSS,13.06,7,0
10.5975,6.465,2.2075,0,z1,9.8125,6,0
10.4274,6.24,2.4,0,z2,9.655,6,0
3.645,1.365,1.19,0,z3,3.375,4,0
3.645,1.365,1.19,0,z4,3.375,4,0
10.5975,6.465,2.2075,0,z5,9.8125,6,0
