logical_alias,source_context,physical_variant,canonical_physical_name,nmos_width_nm,pmos_width_nm,channel_length_nm,generation_priority,required_generator_level,candidate_existing_generator_path
TRANSMISSION_GATE,sram_compiler/subcircuits/time_generate.py,TRANSMISSION_GATE,TRANSMISSION_GATE,250,500,50,P0_REQUIRED_FIRST,PRIMITIVE_GATE,/data1/qujh/OpenRAM/compiler/modules/ptx.py
AND2,sram_compiler/subcircuits/standard_cell.py,AND2,AND2,,,50,P1_REQUIRED_FOR_DFF,PRIMITIVE_GATE,
AND3,sram_compiler/subcircuits/standard_cell.py,AND3,AND3,,,50,P1_REQUIRED_FOR_DFF,PRIMITIVE_GATE,
DFF,sram_compiler/subcircuits/time_generate.py,DFF,DFF,,,50,P1_REQUIRED_FOR_DFF,SEQUENTIAL_CELL,
DFF_BUF,sram_compiler/subcircuits/time_generate.py,DFF_BUF,DFF_BUF,,,50,P1_REQUIRED_FOR_DFF,SEQUENTIAL_CELL,
ADDR_DFF,sram_compiler/subcircuits/time_generate.py,ADDR_DFF,ADDR_DFF,,,50,P2_REQUIRED_FOR_CONTROL_PATH,SEQUENTIAL_CELL,
DATA_DFF,sram_compiler/subcircuits/time_generate.py,DATA_DFF,DATA_DFF,,,50,P2_REQUIRED_FOR_CONTROL_PATH,SEQUENTIAL_CELL,
pdrive,sram_compiler/subcircuits/time_generate.py,PDRIVE,PDRIVE,250,500,50,P2_REQUIRED_FOR_CONTROL_PATH,BUFFER_CHAIN,
pdrive2_for_pre,sram_compiler/subcircuits/time_generate.py,PDRIVE2_FOR_PRE,PDRIVE2_FOR_PRE,250,500,50,P2_REQUIRED_FOR_CONTROL_PATH,BUFFER_CHAIN,
wl_pdrive,sram_compiler/subcircuits/time_generate.py,WL_PDRIVE,WL_PDRIVE,250,500,50,P2_REQUIRED_FOR_CONTROL_PATH,BUFFER_CHAIN,
delay_chain,sram_compiler/subcircuits/time_generate.py,DELAY_CHAIN,DELAY_CHAIN,250,500,50,P2_REQUIRED_FOR_CONTROL_PATH,DELAY_CHAIN,
WenDelayChain,sram_compiler/subcircuits/time_generate.py,WEN_DELAY_CHAIN_ST{stage_count},WEN_DELAY_CHAIN_ST{stage_count},250,500,50,P2_REQUIRED_FOR_CONTROL_PATH,DELAY_CHAIN,
