net,source_x,source_y,sink_x,sink_y,routed_length,status
PRE,84.0,86.8,76.0,79.3,15.5,PASS
S_EN,88.5,30.0,76.0,37.0,19.5,PASS
W_EN,88.5,12.0,76.0,15.0,15.5,PASS
WL_EN,44.0,78.8,58.0,71.0,21.8,PASS
