actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
15.3252,5.73,3.2,0,CLK,14.19,6,0
13.527,5.73,3.2,0,CLKB,12.525,6,0
0.6804,0.63,0.0,0,D,0.63,2,0
3.6018,1.205,1.25,0,D_b,3.335,4,0
4.5441,3.53,0.6775,0,Q,4.2075,4,0
3.6018,1.205,1.25,0,QB,3.335,4,0
20.7036,7.65,3.68,0,VDD,19.17,7,0
20.7036,7.65,3.68,0,VSS,19.17,7,0
10.2357,8.505,0.77,0,z1,9.4775,6,0
12.6441,8.63,3.0775,0,z2,11.7075,6,0
3.6018,1.205,1.25,0,z3,3.335,4,0
3.6018,1.205,1.25,0,z4,3.335,4,0
10.2357,8.505,0.77,0,z5,9.4775,6,0
