candidate,width,height,area,whitespace_ratio,maximum_connected_module_distance,gds,gds_sha
REAL_S0_CLASSIC_COMPACT,377.1425,291.67,110001.153,0.306697,278.15,outputs/PROJECT_full_single_bank_sram/real_hierarchical_floorplan_v1/candidates/REAL_S0_CLASSIC_COMPACT/full_hierarchical_floorplan.gds,1238a6f114068b08ba88a1357e420138bfd7d54a4984ccf097170cc9f7c73425
REAL_S3_CONTROL_NEAR_SINKS,377.1425,291.67,110001.153,0.306697,119.0125,outputs/PROJECT_full_single_bank_sram/real_hierarchical_floorplan_v1/candidates/REAL_S3_CONTROL_NEAR_SINKS/full_hierarchical_floorplan.gds,6e7784d261f15bb48a94d0fd45e25b38ac20e35e6a95cf91512e4cfbf304c5bd
