candidate_id,file_id,relative_path,category,is_key_entrypoint,is_config_file,matched_keywords,matched_keyword_count,capacity_keyword_count,variation_keyword_count,size_bytes,line_count
M11CFG0075,OYF0086,sram_compiler/subcircuits/precharge_and_write_driver.py,SOURCE_FILE,False,False,data;netlist;sram,3,0,0,4477,109
M11CFG0076,OYF0087,sram_compiler/subcircuits/replica_column.py,SOURCE_FILE,False,False,array;bit;cols;config;data;netlist;num_cols;num_rows;rows;size;sram,11,5,3,8608,204
M11CFG0077,OYF0088,sram_compiler/subcircuits/sram_10t_core.py,SOURCE_FILE,False,False,array;bit;cols;config;data;netlist;num_cols;num_rows;parameter;rows;sram,11,5,3,13490,303
M11CFG0078,OYF0089,sram_compiler/subcircuits/sram_6t_core.py,SOURCE_FILE,False,False,array;bit;cols;config;data;netlist;num_cols;num_rows;parameter;rows;sram,11,5,3,12087,279
M11CFG0079,OYF0090,sram_compiler/subcircuits/sram_cell_add_equivalent.py,SOURCE_FILE,False,False,array;cols;config;data;netlist;num_cols;num_rows;rows;size;sram;testbench;yaml,12,5,3,41590,879
M11CFG0080,OYF0091,sram_compiler/subcircuits/standard_cell.py,SOURCE_FILE,False,False,data;netlist;parameter;sram,4,0,0,14044,360
M11CFG0081,OYF0092,sram_compiler/subcircuits/time_generate.py,SOURCE_FILE,False,False,addr;array;bit;cols;data;num_cols;num_rows;rows;sram,9,5,3,28180,767
M11CFG0082,OYF0093,sram_compiler/subcircuits/wordline_driver.py,SOURCE_FILE,False,False,cols;netlist;num_cols;size;sram,5,2,1,3400,79
M11CFG0083,OYF0094,sram_compiler/testbenches/base_testbench.py,SOURCE_FILE,False,False,array;data;netlist;parameter;sram;testbench,6,1,1,3477,91
M11CFG0084,OYF0095,sram_compiler/testbenches/parameter_factor.py,SOURCE_FILE,False,False,cols;config;data;netlist;num_cols;num_rows;parameter;rows;sram;testbench;yaml,11,4,2,45777,1168
M11CFG0085,OYF0096,sram_compiler/testbenches/snm.py,SOURCE_FILE,False,False,array;data;parameter;rows;sample;sram;testbench,7,2,2,11042,366
M11CFG0086,OYF0097,sram_compiler/testbenches/sram_6t_core_MC_testbench.py,SOURCE_FILE,False,False,addr;array;bit;cfg;cols;config;data;netlist;num_cols;num_rows;parameter;rows;sample;size;sram;testbench;yaml,17,5,3,42756,904
M11CFG0087,OYF0098,sram_compiler/testbenches/sram_6t_core_testbench.py,SOURCE_FILE,False,False,addr;array;bit;cfg;cols;config;data;netlist;num_cols;num_rows;parameter;rows;sram;testbench;yaml,15,5,3,53505,1093
