logical_net,route_group,physical_component,status,route_length
DOUT[10],DIN_DOUT,DOUT[10],CONNECTED_BY_TOP_ROUTE_GEOMETRY,48.93
DIN[11],DIN_DOUT,DIN[11],CONNECTED_BY_TOP_ROUTE_GEOMETRY,40.585
DOUT[11],DIN_DOUT,DOUT[11],CONNECTED_BY_TOP_ROUTE_GEOMETRY,49.025
DIN[12],DIN_DOUT,DIN[12],CONNECTED_BY_TOP_ROUTE_GEOMETRY,40.49
DOUT[12],DIN_DOUT,DOUT[12],CONNECTED_BY_TOP_ROUTE_GEOMETRY,49.12
DIN[13],DIN_DOUT,DIN[13],CONNECTED_BY_TOP_ROUTE_GEOMETRY,40.395
DOUT[13],DIN_DOUT,DOUT[13],CONNECTED_BY_TOP_ROUTE_GEOMETRY,49.215
DIN[14],DIN_DOUT,DIN[14],CONNECTED_BY_TOP_ROUTE_GEOMETRY,40.3
DOUT[14],DIN_DOUT,DOUT[14],CONNECTED_BY_TOP_ROUTE_GEOMETRY,49.31
DIN[15],DIN_DOUT,DIN[15],CONNECTED_BY_TOP_ROUTE_GEOMETRY,40.205
DOUT[15],DIN_DOUT,DOUT[15],CONNECTED_BY_TOP_ROUTE_GEOMETRY,49.405
ADDR[0],ADDR_CLK,ADDR[0],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.0
ADDR[1],ADDR_CLK,ADDR[1],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.0
ADDR[2],ADDR_CLK,ADDR[2],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.0
ADDR[3],ADDR_CLK,ADDR[3],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.0
CLK,ADDR_CLK,CLK,CONNECTED_BY_TOP_ROUTE_GEOMETRY,17.0
CSB,ADDR_CLK,CSB,CONNECTED_BY_TOP_ROUTE_GEOMETRY,16.0
WEB,ADDR_CLK,WEB,CONNECTED_BY_TOP_ROUTE_GEOMETRY,15.0
TIME,ADDR_CLK,TIME,CONNECTED_BY_TOP_ROUTE_GEOMETRY,14.0
