actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
12.3012,3.26,4.82,0,CLK,11.39,6,0
12.6171,3.485,4.82,0,CLKB,11.6825,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
2.7594,1.285,0.82,0,D_b,2.555,4,0
2.7216,1.285,0.6175,0,Q,2.52,4,0
2.7594,1.285,0.82,0,QB,2.555,4,0
11.5992,2.55,4.82,0,VDD,10.74,7,0
11.5992,2.55,4.82,0,VSS,10.74,7,0
8.0271,3.835,1.8425,0,z1,7.4325,6,0
8.91,3.61,3.7975,0,z2,8.25,6,0
2.7594,1.285,0.82,0,z3,2.555,4,0
2.7594,1.285,0.82,0,z4,2.555,4,0
8.0271,3.835,1.8425,0,z5,7.4325,6,0
