actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
12.366,3.26,6.12,0,CLK,11.45,6,0
12.5253,3.61,6.12,0,CLKB,11.5975,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
2.457,1.285,0.68,0,D_b,2.275,4,0
2.4192,1.285,0.4775,0,Q,2.24,4,0
2.457,1.285,0.68,0,QB,2.275,4,0
10.098,2.55,6.12,0,VDD,9.35,7,0
10.098,2.55,6.12,0,VSS,9.35,7,0
6.8715,1.285,3.09,0,z1,6.3625,6,0
5.8833,1.285,2.5175,0,z2,5.4475,6,0
2.457,1.285,0.68,0,z3,2.275,4,0
2.457,1.285,0.68,0,z4,2.275,4,0
6.1371,1.285,2.41,0,z5,5.6825,6,0
