pin_name,label_origin,layer_datatype,exact_polygon_points,bbox_list,connected_conductive_component,resolved_net_name
CLK,"[6.635, 2.085]","[""11/0""]","[[[6.535, 2.0175], [6.735, 2.0175], [6.735, 2.1525], [6.535, 2.1525]], [[-0.005, 2.0525], [13.6725, 2.0525], [13.6725, 2.1175], [-0.005, 2.1175]]]","[[6.535, 2.0175, 6.735, 2.1525], [-0.005, 2.0525, 13.6725, 2.1175]]","""via1_58""",CLK
D,"[0.25, 2.505]","[""11/0""]","[[[0.15, 2.4375], [0.35, 2.4375], [0.35, 2.5725], [0.15, 2.5725]], [[0.15, 2.4725], [13.6725, 2.4725], [13.6725, 2.5375], [0.15, 2.5375]]]","[[0.15, 2.4375, 0.35, 2.5725], [0.15, 2.4725, 13.6725, 2.5375]]","""via1_109""",D
Q,"[13.0225, 3.975]","[""11/0""]","[[[12.9225, 3.9075], [13.1225, 3.9075], [13.1225, 4.0425], [12.9225, 4.0425]], [[10.5725, 3.9425], [13.6725, 3.9425], [13.6725, 4.0075], [10.5725, 4.0075]]]","[[12.9225, 3.9075, 13.1225, 4.0425], [10.5725, 3.9425, 13.6725, 4.0075]]","""via1_253""",Q
VDD,"[6.6365, 1.8525]","[""11/0""]","[[[6.2925, 1.82], [6.8525, 1.82], [6.8525, 1.885], [6.2925, 1.885]]]","[[6.2925, 1.82, 6.8525, 1.885]]","""contact_1174""",VDD
VSS,"[6.6365, 0.0325]","[""11/0""]","[[[6.2925, 0.0], [6.8525, 0.0], [6.8525, 0.065], [6.2925, 0.065]]]","[[6.2925, 0.0, 6.8525, 0.065]]","""contact_1180""",VSS
