net_name,x,y,size,landing,route_order,via_role
qint,13.095,4.175,0.065,0.135,2,pin_access
qint,13.095,2.71,0.065,0.135,2,track_drop
qint,14.09,0.8525,0.065,0.135,2,pin_access
qint,14.09,2.71,0.065,0.135,2,track_drop
QB,14.6875,0.8525,0.065,0.135,3,pin_access
QB,14.6875,2.92,0.065,0.135,3,track_drop
QB,15.2375,0.8525,0.065,0.135,3,pin_access
QB,15.2375,2.92,0.065,0.135,3,track_drop
Q,15.865,0.8525,0.065,0.135,4,pin_access
Q,15.865,3.13,0.065,0.135,4,track_drop
