instance,approved_digest,cloned_digest,hierarchy_digest,match
dff,4cfbb46b0c2bb2b2799ad5b0,4cfbb46b0c2bb2b2799ad5b0,4cfbb46b0c2bb2b2799ad5b0,True
inv1,117596b07947416690e720e7,117596b07947416690e720e7,117596b07947416690e720e7,True
inv2,497152acca1004460d41d657,497152acca1004460d41d657,497152acca1004460d41d657,True
