instance,cell,orientation,endpoint_net,endpoint_layer,endpoint_bbox,top_component_id,witness_path_shape_count,witness_path_via_count,passed,endpoint_component_id,witness_path_shape_ids
lower_wordline_stage_0/and3_pre_0,AND3,R0,VSS,m1,"{""by"": 8.435, ""layer"": ""m1"", ""lx"": 25.2925, ""rx"": 27.3375, ""uy"": 8.5}",via2_954,20,8,True,via2_954,"[""m1_4972"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and2_en_0,AND2,R0,VDD,m1,"{""by"": 10.255, ""layer"": ""m1"", ""lx"": 27.4475, ""rx"": 29.1475, ""uy"": 10.32}",via2_924,19,8,True,via2_924,"[""m1_4961"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and2_en_0,AND2,R0,VSS,m1,"{""by"": 8.435, ""layer"": ""m1"", ""lx"": 27.4475, ""rx"": 29.1475, ""uy"": 8.5}",via2_954,20,8,True,via2_954,"[""m1_4972"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and3_pre_2,AND3,R0,VDD,m1,"{""by"": 10.255, ""layer"": ""m1"", ""lx"": 29.2575, ""rx"": 31.3025, ""uy"": 10.32}",via2_924,19,8,True,via2_924,"[""m1_4961"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and3_pre_2,AND3,R0,VSS,m1,"{""by"": 8.435, ""layer"": ""m1"", ""lx"": 29.2575, ""rx"": 31.3025, ""uy"": 8.5}",via2_954,20,8,True,via2_954,"[""m1_4972"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and2_en_2,AND2,R0,VDD,m1,"{""by"": 10.255, ""layer"": ""m1"", ""lx"": 31.4125, ""rx"": 33.1125, ""uy"": 10.32}",via2_924,19,8,True,via2_924,"[""m1_4961"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and2_en_2,AND2,R0,VSS,m1,"{""by"": 8.435, ""layer"": ""m1"", ""lx"": 31.4125, ""rx"": 33.1125, ""uy"": 8.5}",via2_954,20,8,True,via2_954,"[""m1_4972"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and3_pre_4,AND3,R0,VDD,m1,"{""by"": 10.255, ""layer"": ""m1"", ""lx"": 33.2225, ""rx"": 35.2675, ""uy"": 10.32}",via2_924,19,8,True,via2_924,"[""m1_4961"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and3_pre_4,AND3,R0,VSS,m1,"{""by"": 8.435, ""layer"": ""m1"", ""lx"": 33.2225, ""rx"": 35.2675, ""uy"": 8.5}",via2_954,20,8,True,via2_954,"[""m1_4972"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and2_en_4,AND2,R0,VDD,m1,"{""by"": 10.255, ""layer"": ""m1"", ""lx"": 35.3775, ""rx"": 37.0775, ""uy"": 10.32}",via2_924,19,8,True,via2_924,"[""m1_4961"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
