cell_name,hierarchy_cell_name,instance_path,label_text,label_layer,label_datatype,origin_x,origin_y,conductive_component_id,is_canonical,is_lowercase_alias,is_internal_device_terminal,duplication_source,exact_duplicate_count,same_component_distinct_label_names
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_core,PINV_NW2430_PW7290_L50_core[0],vdd,11,0,1.994,1.82,contact_270,False,True,False,CORE_ALIAS,1,S|VDD|vdd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p[0],G,9,0,1.8825,1.055,contact_282,False,False,True,PTX_INTERNAL_TERMINAL,1,A|G
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p[0],S,11,0,2.845,1.415,contact_270,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p[0],S,11,0,1.745,1.415,contact_270,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p[0],S,11,0,2.295,1.415,contact_270,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p[0],S,11,0,3.395,1.415,contact_270,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p[0],S,11,0,0.645,1.415,contact_270,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p[0],S,11,0,0.125,1.415,contact_270,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p[0],S,11,0,1.195,1.415,contact_270,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p[0],D,11,0,2.005,1.25,contact_264,False,False,True,PTX_INTERNAL_TERMINAL,1,D|G|Z
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p[1],G,9,0,1.8825,0.3925,contact_264,False,False,True,PTX_INTERNAL_TERMINAL,1,D|G|Z
