actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
17.8092,5.89,5.44,0,CLK,16.49,6,0
18.3546,5.89,5.44,0,CLKB,16.995,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
4.0122,1.365,1.36,0,D_b,3.715,4,0
3.8205,1.365,1.1575,0,Q,3.5375,4,0
2.5434,1.365,0.68,0,QB,2.355,4,0
17.9928,5.1,6.12,0,VDD,16.66,7,0
17.9928,5.1,6.12,0,VSS,16.66,7,0
11.9691,6.465,2.2425,0,z1,11.0825,6,0
11.5317,6.24,3.1975,0,z2,10.6775,6,0
2.5434,1.365,0.68,0,z3,2.355,4,0
4.0122,1.365,1.36,0,z4,3.715,4,0
11.9691,6.465,2.2425,0,z5,11.0825,6,0
