actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
14.688,10.2,1.36,0,CLK,13.6,6,0
14.2506,10.2,1.1575,0,CLKB,13.195,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
2.5434,1.365,0.68,0,D_b,2.355,4,0
2.5056,1.365,0.4775,0,Q,2.32,4,0
10.8702,9.015,1.05,0,QB,10.065,4,0
12.6684,7.65,2.04,0,VDD,11.73,7,0
12.6684,7.65,2.04,0,VSS,11.73,7,0
9.1476,6.465,1.05,0,z1,8.47,6,0
6.5691,3.565,2.04,0,z2,6.0825,6,0
8.1162,6.465,1.05,0,z3,7.515,4,0
2.5434,1.365,0.68,0,z4,2.355,4,0
11.9016,9.015,1.05,0,z5,11.02,6,0
