actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
18.2412,8.28,3.22,0,CLK,16.89,6,0
17.1666,8.28,3.22,0,CLKB,15.895,6,0
0.6804,0.63,0.0,0,D,0.63,2,0
2.673,1.205,0.82,0,D_b,2.475,4,0
2.6352,1.205,0.6175,0,Q,2.44,4,0
5.3406,3.755,1.19,0,QB,4.945,4,0
14.148,5.1,4.02,0,VDD,13.1,7,0
14.148,5.1,4.02,0,VSS,13.1,7,0
11.2158,8.855,0.79,0,z1,10.385,6,0
9.8496,6.08,2.1975,0,z2,9.12,6,0
5.3406,3.755,1.19,0,z3,4.945,4,0
2.673,1.205,0.82,0,z4,2.475,4,0
11.2158,8.855,0.79,0,z5,10.385,6,0
