instance,asset_id,gds_path,gds_sha,top_cell,x,y,orientation
row_path,row_path_p2,outputs/PROJECT_decoder_real_array_integration_v1/P2_REAL_ARRAY_V1/integration_shell_clean.gds,41820f1a32b0b8d6066c2d49c081489dfd74eb9b0e6e8e3be655c071abc7fba4,P2_REAL_ARRAY_V1_integration_shell,0.0,0.0,R0
precharge,precharge,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b,gen_precharge,15.7504,53.62,R0
sense_amp,sense_amp,outputs/openyield_module_gds/sense_amp/sense_amp.gds,f5dea51b6030e141c6f768548849ae99780f11d1b8f662d1e4b70cc692c09adf,sense_amp,15.7504,-18.01,R0
write_driver,write_driver,outputs/openyield_module_gds/write_driver/write_driver.gds,50fb6e598520b5b17b9ec976c435430c6e1027673550c9b6b465c7f0526edbf8,write_driver,47.2511,-16.175,R0
control_block,control_block,outputs/PROJECT_full_single_bank_sram/control_block/candidates/C2_TIMING_CHAIN_ORIENTED/clean.gds,9893ef5423e31c933779a6d06e3c613e4d57ff84439a8a50e15cf47b99f749d4,control_block_hierarchical_v1_c2_timing_chain_oriented,117.0025,2.081,R0
