actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.3248,5.73,2.8,0,CLK,9.56,6,0
10.7244,5.73,2.8,0,CLKB,9.93,6,0
0.6804,0.63,0.0,0,D,0.63,2,0
3.6018,1.205,1.25,0,D_b,3.335,4,0
3.3939,1.205,1.0825,0,Q,3.1425,4,0
3.6018,1.205,1.25,0,QB,3.335,4,0
11.9016,5.1,3.68,0,VDD,11.02,7,0
11.9016,5.1,3.68,0,VSS,11.02,7,0
7.4655,1.205,3.3275,0,z1,6.9125,6,0
8.9019,5.955,1.0825,0,z2,8.2425,6,0
3.6018,1.205,1.25,0,z3,3.335,4,0
3.6018,1.205,1.25,0,z4,3.335,4,0
7.4655,1.205,3.3275,0,z5,6.9125,6,0
