actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
14.688,10.2,1.36,0,CLK,13.6,6,0
14.2506,10.2,1.1575,0,CLKB,13.195,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
2.457,1.285,0.68,0,D_b,2.275,4,0
2.4192,1.285,0.4775,0,Q,2.24,4,0
10.7838,8.935,1.05,0,QB,9.985,4,0
12.6684,7.65,2.04,0,VDD,11.73,7,0
12.6684,7.65,2.04,0,VSS,11.73,7,0
9.0612,6.385,1.05,0,z1,8.39,6,0
6.4827,3.485,2.04,0,z2,6.0025,6,0
8.0298,6.385,1.05,0,z3,7.435,4,0
2.457,1.285,0.68,0,z4,2.275,4,0
11.8152,8.935,1.05,0,z5,10.94,6,0
