DRC,LVS,M1_length,M2_length,M3_length,P/N_x_overlap,VIA1,VIA2,area,bbox,candidate,contacts,electrical_validity,gds,name,paired_columns
,,,,,,,,NOT_REMEASURED_THIS_STAGE,,,,REFERENCE_ONLY_NOT_OPENYIELD_GOLDEN,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/technology/freepdk45/gds_lib/dff.gds,OpenRAM_read_only_reference,
PASS_PREVIOUS,FAIL_PREVIOUS,,,,,,,9.1017,,,,ELECTRICALLY_INVALID,,old_9p1017_DRC_only,
,,,,,,,,566.904,,,,DRC_LVS_PASS,,first_valid_baseline,
DRC_PASS,LVS_PASS,,,,0.0,90,90,510.64320000000004,,,68,DRC_LVS_PASS,,DFF_V2_COOPT_S1_P1p50_DX17p00_B0p42,0
,,,,,0.2,,,DX14.80 fixture,,,,DRC_LVS_PASS,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_autonomous_dx14p80_router_closure/DX14P80/FINAL_RUN_A/DFF_V2_DX14P80_LOCAL_ROUTER_REPAIRED.gds,DFF_V2_DX14P80_LOCAL_ROUTER_REPAIRED,0
DRC_PASS,LVS_PASS,25.2,693.925,197.65,21.93,90,90,442.806,"{""width"": 24.33, ""height"": 18.2, ""area"": 442.806}",DFF_V2_PN_COLUMN_SOURCE_ORDER_P2p1,68,DRC_LVS_PASS,,first_true_paired_column_DFF,11
DRC_PASS,LVS_PASS,24.24,693.925,163.62,18.93,90,90,388.206,"{""width"": 21.33, ""height"": 18.2, ""area"": 388.206}",DFF_V2_PN_COLUMN_GATE_SORTED_P1p8,68,DRC_LVS_PASS,,best_true_paired_column_DFF,11
