actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
13.9536,10.2,1.2,0,CLK,12.92,6,0
13.5162,10.2,0.9975,0,CLKB,12.515,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
2.889,1.285,0.88,0,D_b,2.675,4,0
2.8512,1.285,0.6775,0,Q,2.64,4,0
10.9998,8.935,1.25,0,QB,10.185,4,0
12.7548,7.65,2.08,0,VDD,11.81,7,0
12.7548,7.65,2.08,0,VSS,11.81,7,0
8.0028,6.385,0.69,0,z1,7.41,6,0
6.7419,3.485,2.08,0,z2,6.2425,6,0
8.2458,6.385,1.25,0,z3,7.635,4,0
2.889,1.285,0.88,0,z4,2.675,4,0
10.7568,8.935,0.69,0,z5,9.96,6,0
