power_shape_id,net_name,power_group,gds_layer,gds_datatype,shape_type,shape_bbox,shape_center,source_report,is_real_power_shape,is_guide_geometry,is_placeholder_overlay,verified_in_gds
POWER_SHAPE_0021,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 13.9225, 'y0': 15.3645, 'x1': 18.945, 'y1': 20.8424, 'width': 5.0225, 'height': 5.4779}","{'x': 16.43375, 'y': 18.10345}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0022,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 13.9225, 'y0': 13.4176, 'x1': 18.945, 'y1': 14.0, 'width': 5.0225, 'height': 0.5824}","{'x': 16.43375, 'y': 13.7088}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0023,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 18.845, 'y0': 14.4355, 'x1': 22.8025, 'y1': 20.8424, 'width': 3.9575, 'height': 6.4069}","{'x': 20.82375, 'y': 17.63895}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0024,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 18.845, 'y0': 13.2375, 'x1': 22.7825, 'y1': 13.4176, 'width': 3.9375, 'height': 0.1801}","{'x': 20.81375, 'y': 13.32755}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0025,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 7.831, 'y0': 9.586, 'x1': 10.22875, 'y1': 25.8285, 'width': 2.39775, 'height': 16.2425}","{'x': 9.029875, 'y': 17.70725}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0026,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 7.831, 'y0': 8.2215, 'x1': 10.22875, 'y1': 8.4315, 'width': 2.39775, 'height': 0.21}","{'x': 9.029875, 'y': 8.3265}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0027,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 7.831, 'y0': 13.749, 'x1': 10.22875, 'y1': 25.8285, 'width': 2.39775, 'height': 12.0795}","{'x': 9.029875, 'y': 19.78875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0028,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 7.831, 'y0': 8.4315, 'x1': 10.22875, 'y1': 12.3845, 'width': 2.39775, 'height': 3.953}","{'x': 9.029875, 'y': 10.408}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0029,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 7.831, 'y0': 17.827, 'x1': 10.22875, 'y1': 25.8285, 'width': 2.39775, 'height': 8.0015}","{'x': 9.029875, 'y': 21.82775}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0030,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 7.831, 'y0': 8.4315, 'x1': 10.22875, 'y1': 16.4625, 'width': 2.39775, 'height': 8.031}","{'x': 9.029875, 'y': 12.447}",MODULE_STITCH,True,False,False,True
