net_name,net_category,power_group,source_node,target_node,source_pin_status,target_pin_status,shape_type,shape_bbox,shape_id,gds_layer,gds_datatype,power_status,uses_synthesized_pin_access,is_geometry_power,shape_verified_in_gds,guide_only,blocking_reason,next_required_action
GND,GND,COLUMN_STRAP_STITCH,gnd_strap,column_gnd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,COLUMN_GND_STRAP_STITCH,"{'x0': 19.74, 'y0': 1.225, 'x1': 19.84, 'y1': 21.3001, 'width': 0.1, 'height': 20.0751}",POWER_SHAPE_0014,42,0,GEOMETRY_POWER_GRAPH_CONNECTED,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,CONTROL_REGION,vdd_strap,control_vdd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,CONTROL_VDD_RAIL,"{'x0': 6.5375, 'y0': 11.74425, 'x1': 53.7525, 'y1': 11.92425, 'width': 47.215, 'height': 0.18}",POWER_SHAPE_0015,41,0,GEOMETRY_POWER_RAIL,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,CONTROL_REGION,gnd_strap,control_gnd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,CONTROL_GND_RAIL,"{'x0': 6.5375, 'y0': 4.50075, 'x1': 53.7525, 'y1': 4.68075, 'width': 47.215, 'height': 0.18}",POWER_SHAPE_0016,42,0,GEOMETRY_POWER_RAIL,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,CONTROL_STRAP_STITCH,vdd_strap,control_vdd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,CONTROL_VDD_STRAP_STITCH,"{'x0': 30.095, 'y0': 11.74425, 'x1': 30.195, 'y1': 31.27, 'width': 0.1, 'height': 19.52575}",POWER_SHAPE_0017,41,0,GEOMETRY_POWER_GRAPH_CONNECTED,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,CONTROL_STRAP_STITCH,gnd_strap,control_gnd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,CONTROL_GND_STRAP_STITCH,"{'x0': 30.095, 'y0': 1.225, 'x1': 30.195, 'y1': 4.68075, 'width': 0.1, 'height': 3.45575}",POWER_SHAPE_0018,42,0,GEOMETRY_POWER_GRAPH_CONNECTED,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,MODULE_STITCH,bitcell_array:VDD,array_vdd_rail,GEOMETRY_BACKED_PIN,GEOMETRY_POWER_RAIL,MODULE_VDD_STITCH,"{'x0': 18.3025, 'y0': 15.3645, 'x1': 18.945, 'y1': 20.8424, 'width': 0.6425, 'height': 5.4779}",POWER_SHAPE_0019,41,0,GEOMETRY_POWER_PIN_TO_STRAP_STITCH,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,MODULE_STITCH,bitcell_array:GND,array_gnd_rail,GEOMETRY_BACKED_PIN,GEOMETRY_POWER_RAIL,MODULE_GND_STITCH,"{'x0': 18.3025, 'y0': 13.4176, 'x1': 18.945, 'y1': 14.0, 'width': 0.6425, 'height': 0.5824}",POWER_SHAPE_0020,42,0,GEOMETRY_POWER_PIN_TO_STRAP_STITCH,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,MODULE_STITCH,dummy_array:VDD,array_vdd_rail,GEOMETRY_BACKED_PIN,GEOMETRY_POWER_RAIL,MODULE_VDD_STITCH,"{'x0': 13.9225, 'y0': 15.3645, 'x1': 18.945, 'y1': 20.8424, 'width': 5.0225, 'height': 5.4779}",POWER_SHAPE_0021,41,0,GEOMETRY_POWER_PIN_TO_STRAP_STITCH,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,MODULE_STITCH,dummy_array:GND,array_gnd_rail,GEOMETRY_BACKED_PIN,GEOMETRY_POWER_RAIL,MODULE_GND_STITCH,"{'x0': 13.9225, 'y0': 13.4176, 'x1': 18.945, 'y1': 14.0, 'width': 5.0225, 'height': 0.5824}",POWER_SHAPE_0022,42,0,GEOMETRY_POWER_PIN_TO_STRAP_STITCH,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,MODULE_STITCH,replica_array:VDD,array_vdd_rail,GEOMETRY_BACKED_PIN,GEOMETRY_POWER_RAIL,MODULE_VDD_STITCH,"{'x0': 18.845, 'y0': 14.4355, 'x1': 22.8025, 'y1': 20.8424, 'width': 3.9575, 'height': 6.4069}",POWER_SHAPE_0023,41,0,GEOMETRY_POWER_PIN_TO_STRAP_STITCH,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
