actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
11.4588,3.18,5.88,0,CLK,10.61,6,0
12.4173,3.53,5.88,0,CLKB,11.4975,6,0
0.6804,0.63,0.0,0,D,0.63,2,0
2.8026,1.205,0.88,0,D_b,2.595,4,0
2.7648,1.205,0.6775,0,Q,2.56,4,0
2.8026,1.205,0.88,0,QB,2.595,4,0
9.2124,2.55,5.88,0,VDD,8.53,7,0
9.2124,2.55,5.88,0,VSS,8.53,7,0
6.6987,1.205,2.95,0,z1,6.2025,6,0
4.3308,1.205,1.4975,0,z2,4.01,6,0
2.8026,1.205,0.88,0,z3,2.595,4,0
2.8026,1.205,0.88,0,z4,2.595,4,0
6.4827,1.205,2.85,0,z5,6.0025,6,0
