actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
14.742,5.81,4.24,0,CLK,13.65,6,0
16.3485,5.81,4.24,0,CLKB,15.1375,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
2.6298,1.285,0.76,0,D_b,2.435,4,0
2.592,1.285,0.5575,0,Q,2.4,4,0
8.1162,6.385,1.13,0,QB,7.515,4,0
9.0828,2.55,5.76,0,VDD,8.41,7,0
9.0828,2.55,5.76,0,VSS,8.41,7,0
9.8469,6.385,1.31,0,z1,9.1175,6,0
4.374,1.285,1.4975,0,z2,4.05,6,0
8.1162,6.385,1.13,0,z3,7.515,4,0
2.6298,1.285,0.76,0,z4,2.435,4,0
9.5796,6.385,1.21,0,z5,8.87,6,0
