parent_module,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,source_line,loop_variables,branch_condition,operation_condition,configuration_condition,declaration_status,active_in_default_environment,condition_evaluation_status
DFF,'inv3',PINV,0,VDD,VDD,VDD,227,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv3',PINV,1,VSS,VSS,VSS,227,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv3',PINV,2,A,z1,z1,227,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv3',PINV,3,Z,z2,z2,227,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv4',PINV,0,VDD,VDD,VDD,231,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv4',PINV,1,VSS,VSS,VSS,231,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv4',PINV,2,A,z2,z2,231,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv4',PINV,3,Z,z3,z3,231,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg2',TRANSMISSION_GATE,0,VDD,VDD,VDD,234,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg2',TRANSMISSION_GATE,1,VSS,VSS,VSS,234,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg2',TRANSMISSION_GATE,2,IN,z3,z3,234,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg2',TRANSMISSION_GATE,3,OUT,z1,z1,234,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg2',TRANSMISSION_GATE,4,CTR_P,CLKB,CLKB,234,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg2',TRANSMISSION_GATE,5,CTR_N,CLK,CLK,234,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv5',PINV,0,VDD,VDD,VDD,239,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv5',PINV,1,VSS,VSS,VSS,239,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv5',PINV,2,A,z2,z2,239,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv5',PINV,3,Z,z4,z4,239,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg3',TRANSMISSION_GATE,0,VDD,VDD,VDD,242,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg3',TRANSMISSION_GATE,1,VSS,VSS,VSS,242,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg3',TRANSMISSION_GATE,2,IN,z4,z4,242,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg3',TRANSMISSION_GATE,3,OUT,z5,z5,242,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg3',TRANSMISSION_GATE,4,CTR_P,CLKB,CLKB,242,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg3',TRANSMISSION_GATE,5,CTR_N,CLK,CLK,242,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv6',PINV,0,VDD,VDD,VDD,246,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv6',PINV,1,VSS,VSS,VSS,246,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv6',PINV,2,A,z5,z5,246,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv6',PINV,3,Z,Q,Q,246,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv7',PINV,0,VDD,VDD,VDD,250,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv7',PINV,1,VSS,VSS,VSS,250,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv7',PINV,2,A,Q,Q,250,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'inv7',PINV,3,Z,QB,QB,250,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg4',TRANSMISSION_GATE,0,VDD,VDD,VDD,254,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg4',TRANSMISSION_GATE,1,VSS,VSS,VSS,254,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg4',TRANSMISSION_GATE,2,IN,QB,QB,254,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg4',TRANSMISSION_GATE,3,OUT,z5,z5,254,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
