parent_module,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,source_line,loop_variables,branch_condition,operation_condition,configuration_condition,declaration_status,active_in_default_environment,condition_evaluation_status
TIME,'wen_delaychain',wen_delay_chain,3,out,rbl_delay_bar_wen,rbl_delay_bar_wen,683,,operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'w_en',AND3,0,VDD,VDD,VDD,702,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'w_en',AND3,1,VSS,VSS,VSS,702,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'w_en',AND3,2,A,rbl_delay_bar,rbl_delay_bar,702,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'w_en',AND3,3,B,gated_clk_bar,gated_clk_bar,702,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'w_en',AND3,4,C,we,we,702,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'w_en',AND3,5,Z,w_en,w_en,702,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'s_en',AND3,0,VDD,VDD,VDD,718,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'s_en',AND3,1,VSS,VSS,VSS,718,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'s_en',AND3,2,A,rbl_delay,rbl_delay,718,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'s_en',AND3,3,B,gated_clk_bar,gated_clk_bar,718,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'s_en',AND3,4,C,we_bar,we_bar,718,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'s_en',AND3,5,Z,s_en,s_en,718,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'pre_unbuf',PNAND3,0,VDD,VDD,VDD,743,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'pre_unbuf',PNAND3,1,VSS,VSS,VSS,743,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'pre_unbuf',PNAND3,2,A,gated_clk_buf,gated_clk_buf,743,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'pre_unbuf',PNAND3,3,B,rbl_delay,rbl_delay,743,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'pre_unbuf',PNAND3,4,C,wl_en_bar,wl_en_bar,743,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'pre_unbuf',PNAND3,5,Z,PRE_UNBUF,PRE_UNBUF,743,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'pre',pdrive2_for_pre,0,VDD,VDD,VDD,754,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'pre',pdrive2_for_pre,1,VSS,VSS,VSS,754,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'pre',pdrive2_for_pre,2,A,PRE_UNBUF,PRE_UNBUF,754,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'pre',pdrive2_for_pre,3,Z,PRE,PRE,754,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,'dinv0',PINV,0,VDD,VDD,VDD,333,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,'dinv0',PINV,1,VSS,VSS,VSS,333,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,'dinv0',PINV,2,A,in,in,333,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,'dinv0',PINV,3,Z,dout_1,dout_1,333,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_0_{j}',PINV,0,VDD,VDD,VDD,337,j in range(4),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_0_{j}',PINV,1,VSS,VSS,VSS,337,j in range(4),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_0_{j}',PINV,2,A,dout_1,dout_1,337,j in range(4),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_0_{j}',PINV,3,Z,f'n_0_{j}',f'n_0_{j}',337,j in range(4),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dinv{i}',PINV,0,VDD,VDD,VDD,343,"i in range(1, 8)",,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dinv{i}',PINV,1,VSS,VSS,VSS,343,"i in range(1, 8)",,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dinv{i}',PINV,2,A,f'dout_{i}',f'dout_{i}',343,"i in range(1, 8)",,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dinv{i}',PINV,3,Z,f'dout_{i + 1}',f'dout_{i + 1}',343,"i in range(1, 8)",,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_{i}_{j}',PINV,0,VDD,VDD,VDD,348,"i in range(1, 8) | j in range(4)",,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_{i}_{j}',PINV,1,VSS,VSS,VSS,348,"i in range(1, 8) | j in range(4)",,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_{i}_{j}',PINV,2,A,f'dout_{i + 1}',f'dout_{i + 1}',348,"i in range(1, 8) | j in range(4)",,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_{i}_{j}',PINV,3,Z,f'n_{i}_{j}',f'n_{i}_{j}',348,"i in range(1, 8) | j in range(4)",,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,'dinv8',PINV,0,VDD,VDD,VDD,352,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,'dinv8',PINV,1,VSS,VSS,VSS,352,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,'dinv8',PINV,2,A,dout_8,dout_8,352,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,'dinv8',PINV,3,Z,out,out,352,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_8_{j}',PINV,0,VDD,VDD,VDD,356,j in range(4),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_8_{j}',PINV,1,VSS,VSS,VSS,356,j in range(4),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_8_{j}',PINV,2,A,out,out,356,j in range(4),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
delay_chain,f'dload_8_{j}',PINV,3,Z,f'n_8_{j}',f'n_8_{j}',356,j in range(4),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv1',PINV,0,VDD,VDD,VDD,87,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv1',PINV,1,VSS,VSS,VSS,87,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv1',PINV,2,A,A,A,87,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv1',PINV,3,Z,zb1_node,zb1_node,87,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv2',PINV,0,VDD,VDD,VDD,91,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv2',PINV,1,VSS,VSS,VSS,91,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv2',PINV,2,A,zb1_node,zb1_node,91,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv2',PINV,3,Z,zb2_node,zb2_node,91,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv3',PINV,0,VDD,VDD,VDD,95,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv3',PINV,1,VSS,VSS,VSS,95,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv3',PINV,2,A,zb2_node,zb2_node,95,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv3',PINV,3,Z,zb3_node,zb3_node,95,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv4',PINV,0,VDD,VDD,VDD,99,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv4',PINV,1,VSS,VSS,VSS,99,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv4',PINV,2,A,zb3_node,zb3_node,99,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive,'buf_inv4',PINV,3,Z,Z,Z,99,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive2_for_pre,'buf_inv1',PINV,0,VDD,VDD,VDD,138,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive2_for_pre,'buf_inv1',PINV,1,VSS,VSS,VSS,138,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive2_for_pre,'buf_inv1',PINV,2,A,A,A,138,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive2_for_pre,'buf_inv1',PINV,3,Z,zb1_node,zb1_node,138,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive2_for_pre,'buf_inv2',PINV,0,VDD,VDD,VDD,142,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive2_for_pre,'buf_inv2',PINV,1,VSS,VSS,VSS,142,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive2_for_pre,'buf_inv2',PINV,2,A,zb1_node,zb1_node,142,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
pdrive2_for_pre,'buf_inv2',PINV,3,Z,Z,Z,142,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wen_delay_chain,f'winv{i}',PINV,0,VDD,VDD,VDD,396,i in range(self.stages),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wen_delay_chain,f'winv{i}',PINV,1,VSS,VSS,VSS,396,i in range(self.stages),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wen_delay_chain,f'winv{i}',PINV,2,A,in,in,396,i in range(self.stages),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wen_delay_chain,f'winv{i}',PINV,3,Z,f'wen_dly_{i + 1},f'wen_dly_{i + 1},396,i in range(self.stages),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wen_delay_chain,f'wload_{i}_{j}',PINV,0,VDD,VDD,VDD,400,i in range(self.stages) | j in range(self.loads_per_stage),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wen_delay_chain,f'wload_{i}_{j}',PINV,1,VSS,VSS,VSS,400,i in range(self.stages) | j in range(self.loads_per_stage),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wen_delay_chain,f'wload_{i}_{j}',PINV,2,A,f'wen_dly_{i + 1},f'wen_dly_{i + 1},400,i in range(self.stages) | j in range(self.loads_per_stage),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wen_delay_chain,f'wload_{i}_{j}',PINV,3,Z,f'wn_{i}_{j}',f'wn_{i}_{j}',400,i in range(self.stages) | j in range(self.loads_per_stage),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wl_pdrive,'buf_inv1',PINV,0,VDD,VDD,VDD,177,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wl_pdrive,'buf_inv1',PINV,1,VSS,VSS,VSS,177,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wl_pdrive,'buf_inv1',PINV,2,A,A,A,177,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wl_pdrive,'buf_inv1',PINV,3,Z,zb1_node,zb1_node,177,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wl_pdrive,'buf_inv2',PINV,0,VDD,VDD,VDD,181,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wl_pdrive,'buf_inv2',PINV,1,VSS,VSS,VSS,181,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wl_pdrive,'buf_inv2',PINV,2,A,zb1_node,zb1_node,181,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
wl_pdrive,'buf_inv2',PINV,3,Z,Z,Z,181,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
