parent_module,source_line,source_loop_context,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,branch_condition,active_for_config,condition_evaluation,condition_input_values,condition_evaluation_source
DFF,227,,'inv3',PINV,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,227,,'inv3',PINV,2,A,z1,z1,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,227,,'inv3',PINV,3,Z,z2,z2,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,231,,'inv4',PINV,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,231,,'inv4',PINV,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,231,,'inv4',PINV,2,A,z2,z2,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,231,,'inv4',PINV,3,Z,z3,z3,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,234,,'tg2',TRANSMISSION_GATE,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,234,,'tg2',TRANSMISSION_GATE,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,234,,'tg2',TRANSMISSION_GATE,2,IN,z3,z3,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,234,,'tg2',TRANSMISSION_GATE,3,OUT,z1,z1,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,234,,'tg2',TRANSMISSION_GATE,4,CTR_P,CLKB,CLKB,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,234,,'tg2',TRANSMISSION_GATE,5,CTR_N,CLK,CLK,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,239,,'inv5',PINV,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,239,,'inv5',PINV,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,239,,'inv5',PINV,2,A,z2,z2,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,239,,'inv5',PINV,3,Z,z4,z4,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,242,,'tg3',TRANSMISSION_GATE,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,242,,'tg3',TRANSMISSION_GATE,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,242,,'tg3',TRANSMISSION_GATE,2,IN,z4,z4,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,242,,'tg3',TRANSMISSION_GATE,3,OUT,z5,z5,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,242,,'tg3',TRANSMISSION_GATE,4,CTR_P,CLKB,CLKB,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,242,,'tg3',TRANSMISSION_GATE,5,CTR_N,CLK,CLK,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,246,,'inv6',PINV,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,246,,'inv6',PINV,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
