b,d,g,instance,l_nm,model,s,source_file,source_line,type,w_nm
VDD,Z,A,MP0,50,PMOS_VTG,VDD,openram_pinv_adapter.py,generate_pinv_cell,PMOS,500
VSS,Z,A,MN0,50,NMOS_VTG,VSS,openram_pinv_adapter.py,generate_pinv_cell,NMOS,250
